466
oaf|der Tölpel
ohne Gürtel|unbelted
ohne Hilfe/Unterstützung|unaided
ohne Rot zu werden|unblushing
ohnmächtig|powerless
Ohr (n)|ear
Ohren (pl)|ears
Ohrenkanal (m)|ear canal
Ohrenlappen (m)|ear lobe
Ohrenschmerzen (pl)|earache
Ohrenschützer|earmuff
Ohrentropfen  (pl)|eardrop
Ohrentropfen  (pl)|eardrop
Ohrmuschel|earlobe
Ohrring (m)|earring
Ohrring (m)|earrings
Ohrring (m)|earrings
oil|Öl (n)
oil|ölen
ointment|Salbe (f)
ok|in ordnnung
Okarina|ocarina
okay|in ordnung
okay|Zustimmung (f)
okkult|occult
Okkultismus|occultism
Oktagon|octagon
oktagonal|octagonal
oktagonal|octagonally
Oktagone|octagons
Oktan|octane
Oktober|October
Oktopus|octopus
Okzident|occident
old|alt
old lady|alte Frau (f)
old man|Greis (m)
old part of the city|Altestadt (m)
old story|alte Geschichte (f)
older|älter
Oleomargarine (f)|margarine
olive|Olive (f)
Olive (f)|olive
olive oil|Olivenöl (n)
Olivenöl (n)|olive oil
Oma (russ.)|babushka
omelet|Eierkuchen (m)
omelet|Omelett (n)
omelets|Omeletten
Omelett (n)|omelet
Omeletten|omelets
Omen|omens
omens|Omen
omicron|Omikron
Omikron|omicron
omit|weglassen
omitted|weggelassen
Omnibusfahrer (m)|bus driver
omnipotence|Allmacht
omnipotent|allmächtig
omnipotently|allmächtig
omnipresence|Allgegenwart
omnipresent|allgegenwärtig
omnipresently|allgegenwärtig
omniscience|Allwissenheit
omniscient|allwissend
omnisciently|allwissend
on another (...)|auf einander (...)
on the|am
on the|an das
on the|an den
on the|an der
on the|an die
on-course|an Kurs
on-time|pünktlich
on-time|rechtzeitig
once|einmal
once|einmal einst
once|einst
once upon a time|es war einmal
oncology|Onkologie
one|ein
one|eine
one|einen
one|einer
one|eines
one|eins
one|eins
one|man
one bed|Einbett (n)
one day|einst
one thousand|tausend
one way|Einfach
one way street|Einbahnstraße (f)
one-nineteen|numbers
one-way|einbahn-
one-way|einweg-
one-way street|Einbahnstraße (f)
one-way ticket|Einbahnfahrkarte (f)
ones|einers
onetime|einselmal
onion|Zwiebel (f)
onion|zwiebel
onions|Zweibeln (pl)
onions|zwiebeln
Onkel (m)|uncle
Onkologie|oncology
onlooker|Zuschauer
onlookers|Zuschauer
only|lediglich
only|nur
only|nur bloss erst
onyx|Onyx (m)
Onyx (m)|onyx
oops|Hoppla
ooze|sickern
oozes|sickert
opal|Opal (m)
Opal (m)|opal
Opale|opals
opals|Opale
open|aufmachen
open|aufschlagen
open|eröffnen
open|erschließen
open|öffnen
open|öffnet
open|offen
open seating|Sitze im freien
opened|öffnete
opened|geöffnet
opened|offene
openhearted|offenherzig
openheartedly|offenherzig
opening|Eröffnung
opening|aufklappend
opening|öffnend
opening|Öffnung
openly|offen
Oper (f)|opera
opera|Oper (f)
operate|arbeiten
operate|bedienen
operate|betreibt
operate|betätigen
operate|eingeschaltet
operate|operieren
operation|Arbeitsgang (m)
operation|Bedienung (f)
operation|Operation (f)
operation|Wirkung (f)
Operation (f)|operation
operieren|operate
opfern|sacrifice
Ophthalmologe|ophthalmologist
Ophthalmologie|ophthalmology
ophthalmologist|Ophthalmologe
ophthalmology|Ophthalmologie
Opiat|opiate
opiate|Opiat
Opiate|opiates
opiates|Opiate
opinion|Meinung
opponent|Gegner
opponents|Gegner
opportune|günstig
opportunely|günstig
opportunism|Opportunismus
Opportunismus|opportunism
opportunistic|opportunistisch
opportunistically|opportunistisch
opportunistisch|opportunistic
opportunistisch|opportunistically
opportunities|Gelegenheiten
opportunity|Gelegenheit
optic|optisch
optical|optisch
optical character recognition|optische Zeichenanerkennung
optically|optisch
optician|Optiker
opticians|Optiker
Optiker|optician
Optiker|opticians
optimieren|optimize
optimiert|optimized
optimism|Optimismus
Optimismus|optimism
Optimisten|optimists
optimistic|optimistisch
optimistical|optimistisch
optimistically|optimistisch
optimistisch|optimistic
optimistisch|optimistical
optimistisch|optimistically
optimists|Optimisten
optimize|optimieren
optimized|optimiert
option|Option (f)
option|Wahl (f)
option|Wahlmöglichkeit (f)
Option (f)|option
Optionen|options
options|Optionen
optisch|optic
optisch|optical
optisch|optically
optische Zeichenanerkennung|optical character recognition
or|oder
orange|Apfelsine (f)
orange|Orange (f)
orange|Pomeranze (f)
Orange (f)|orange
orange juice|Apfelsinensaft (m)
orbiting|umkreisend
Orchester (n)|orchestra
orchestra|Kapelle (f)
orchestra|Musikkapelle (f)
orchestra|Orchester (n)
ordentlich|neat
ordentlich|neatly
ordentlich|proper
ordentlich|regular
ordentlich|tidy
order|anordnen
order|Auftrag (m)
order|Befehl (m)
order|befehlen
order|Bestellung (f)
order|Ordnung (f)
Ordnung (f)|order
Orgie|bacchanal
orient|ausrichten
orient|Orient (m)
orient|orientieren
orient|östlich
Orient (m)|orient
oriental|orientalisch
orientalisch|oriental
orientieren|orient
origin|Abkunft (f)
origin|Anfang (m)
origin|Entstehung (f)
origin|Ursprung (m)
Ort|location
Ort (m)|locality
orten|locate
ortsansässig|indigenous
Ortschaft (f)|village
ortsüblich|customary
ost|east
Osten (m)|east
Osterblume|daff
Osterblume|daffodil
Osterblumen|daffodils
Ostern|easter
Ostern (n)|Easter
osterne Hemisphäre (f)|eastern hemisphere
other|ander
other|andere
other|anderen
other|sonstig
other|zusätlich
ounce|Unze (f)
out|außerhalb
out|aus
out|heraus
out|heraus hinaus
out|hinaus
outboard motor|Außenbordmotor (m)
outlet|Abfluß (f)
outlet|Abzug (m)
outlet|Ausgang (m)
outlet|Auslaß (m)
outlet|Steckdose (f)
outnumbered|war zahlenmäßig überlegen
outside|Außenseite (f)
outside|außerhalb
outside|ausserhalb
outside|draußen
outside|draussen
over|aus
over|über
over|darüber
over|herüber
over|hinüber
over|vor
over|vorbei
overcoat|Überzieher (m)
overcoat|Mantel (m)
overcome|überwinden
overcome|überwältigen
overcome|bewältigen
overcome|verwinden
overhead|überirdisch
overhead|oben
overhead|Systemverwaltungsbedarf (m)
overhead|unkosten
overheard|gehört
overnight|über nacht
overnight|übernacht
overtaxed|überfordert
overtaxed|überfordert
overweight|übergewicht
owner|Besitzer (m)
owner|Eigentümer (m)
oxtail soup|Ochsenschanzsuppe (f)
oxygen|Sauerstoff (m)
oysters|Austern (pl)
Ozean (m)|ocean
Ozeanblick (m)|ocean view
Ozeane|oceans
Ozelot|ocelot
