576
I am American|ich bin Amerikaner
is there anyone here who speaks (...)|spricht jemand (...) hier
is there someone who speaks English here|spricht jemand Englisch hier
is this an express or a local train|ist es ein Schnellzug oder ein Personen
is this seat free|ist dieser Platz frei
is this seat taken|ist diese Platz frei
is this the way to (...)|geht diese Weg nach (...)
is this the way to the zoo|komme ich hier zum Zoo
is this your car|ist das Ihr Auto
is this your car|ist das Ihr Wagen
is this your first visit to (...)|besuchen Sie erstmals nach (...)
island|Insel (f)
islander|Insulaner (m)
issue|Ausgabe (f)
issue|Ausgang (m)
issue|ausgeben
issue|ausstellen
issue|Problem (n)
ist (der) (...) frisch|is the (...) fresh
ist allen Steuern darein|does that include all taxes
ist Bedienung einbegriffen|is the service charge included
ist das Ihr Auto|is this your car
ist das Ihr Wagen|is this your car
ist das Ihre endliche Preis|is that your final price
ist das Schwimmbecken erhitzte|is the swimming pool heated
ist das treu|is that true
ist diese Platz frei|is this seat taken
ist dieser Platz frei|is this seat free
ist es ein Schnellzug oder ein Personen|is this an express or a local train
ist es nur für eine Nacht|is it for one night only
ist Kilometergeld im Preis einbegriffen|does that include mileage
it cannot be repaired|es kann nicht repariert werden
it doesn't fit|es passt nicht
it doesn't matter|es macht nichts
it doesn't work|es funktioniert nicht
it is (...)|es ist (...)
it is a mess|es ist eine Unordnung
it is all right|in ordnnung
it is an emergency|es ist ein Notfall
it is bad|es ist schlecht
it is fine|es ist fein
it is getting late|es bekommt spät
it is good|es ist gut
it is like (...)|es ist wie (...)
it is midnight|es ist Mitternacht
it is nice to meet you|es ist schön, Ihn zu treffen
it is noon|es ist Mittag
it is one o'clock|es ist dreizehn Uhr
it is one o'clock|es ist ein Uhr
it is over there|es ist dort drüben
it is time to go|es ist die Zeit zu gehen
it is too expensive|es ist auch kostspielig
it is two o'clock in the afternoon|es ist vierzehn Uhr
it is urgent|es ist eilig
it seems (...)|es scheint (...)
it seems like (...)|es scheint wie (...)
it's a pity|es ist schade
it's a pity|schade
Italian|Italiener (m)
Italian|italienisch
Italian Lira|italienische Lira
Italien|Italy
Italiener (m)|Italian
italienisch|Italian
italienische Lira|Italian Lira
Italy|Italien
itinerary|Reiseroute (f)
itinerary|Reisetagebuch (n)
its|sein
its|seine
its|seinem
its|seinen
its|seiner
its|seines
itself|selbst
itself|sich
ivory|Elfenbein (n)
