667
V-Hals (n)|v-neck
verlangen|yearn
Verlangen (n)|longing
verlassen|abandon
verlassen|abandon
verlassen|abandoned
verlassen|abandoned
verlassen|leave
verlassen|quit
verlassend|abandoning
Verlassende/r|abandoner
Verlassene/r|abandonee
Verlassenheit|abandonment
verlaufen|bleed
verlegen machen|abash
Verlegenheit|abashment
verletzen|hurt
verleumden|backbite
verleumden|backstabbing
Verleumder|backbiter
Verleumder|backstabber
verlieren|lose
Verlobte (f)|fiancee
verloren|lost
verlust|miss
verlängern|lengthen
verlängern|renew
verlängert|lengthened
Verlängerung (f)|extension
Vermarktung (f)|marketing
vermauerte|walled
vermieten|hire
vermieten|let
vermieten|rent
Vermieter|landlord
Vermieterin|landlady
vermietet|hired
Verminderer|abater
vermindern|abate
vermindernd|abating
vermindert|abated
vermindert|abates
vermissen|miss
vermouth|Wermut (m)
vermählend|wedding
Vermögen (n)|ability
vernetzen|net
vernetzen|network
vernichten|annihilate
vernähen|sew
vernähend|sewing
Verordnung (f)|prescription
verpacken|pack
verpackt|packaged
Verpackung|packages
Verpackung|packaging
Verpackung (f)|package
Verpackungen|packagings
verpassen|miss
verpflichten|obligate
verpflichtet|obligates
Verpflichtung|obligation
Verpflichtungen|obligations
verrichten|do
verringern|abate
verrucht|infamous
verrufen|infamous
verrückt|crazy
verrückt|mad
verrückt|wacky
verrückt|wild
verrückt auf|madly
Verrückte Frau|madwoman
Verrückte Frauen|madwomen
Verrücktheit|daftness
Versammlung|assembly
Versammlung (f)|meeting
verschickt|mailed
verschiffte|shipped
Verschiffung (f)|shipment
verschleiert|veiled
verschliessbar|lockable
verschließen|close
verschlimmern|aggravate
verschlimmert|aggravates
verschlimmerung|aggravation
verschlossen|closed
verschlossen|locked
verschlossen|reserved
verschloß|locked
Verschluss|lockage
Verschluß (m)|plug
verschlüsselt|scrambled
verschnürte|tied
verschwenden|waste
verschwendet|wasted
versenden|mail
versenden|ship
Versendung (f)|shipping
Versendungkosten (pl)|shipping charges
Versicherer|insurer
versichern|assure
versichern|insure
versichert|insured
Versicherung (f)|insurance
Versicherungspolice (f)|insurance policy
versilbern|silver
version|Ausgabe (f)
version|Fassung (f)
version|Version (f)
Version (f)|version
verspätet|late
Verstand (m)|brain
Verstauchung (f)|sprain
Versteck|cache
versteckter Vorrat|cache
verstehen|got it
versteigern|auction
Versteigerung (f)|auction
verstopft|blocked
verstopfte|constipated
verständig|intelligent
verstümmeln|maim
verstümmelt|maimed
Versuch (m)|trial
versuchen|try
versäumen|miss
Versäumnis (f)|default
verteilen|distribute
vertical|senkrecht
Vertrag (m)|contract
vertrag schliessen|contract
vertrag unterzeichnen|subscribe
vertraglich|contractual
Vertrauen|trust
vertraut|familiar
vertraut|intimate
vertreten|represent
Vertreter (m)|representative
Vertretung|agency
Vertretung (f)|agency
Vertretungen|agencies
Vertrieb (m)|market
verurteilen|sentence
Verurteilung (f)|sentence
vervierfachen|quadruple
vervierfacht |quadrupled
vervollständigt|completed
verwalten|administer
verwaltent|administered
verwechseln|confuse
Verwechslung (f)|confusion
verwelken|wither
verwerfen|abolish
verwinden|overcome
verwirren|confuse
verwittert|weatherworn
verworfen|abandoned
verworfen|abject
verwunden|wound
Verwunderer|baffler
Verwunderer|bafflers
verwundern|baffle
verwundern|baffling
verwundert|baffled
verwundert|baffles
Verwunderung|amazement
Verwunderung|bafflement
Verwunderung (f)|wonder
Verwundung (f)|wound
very|sehr
very old|ur-
very old|uralt
Verzeichnis|calendar
Verzeichnis (n)|catalog
Verzeichnis (n)|register
verzeihen|absolve
verzeihen|forgive
verzeihlich|forgivable
verzeihlich|forgivably
verzeihung|sorry
Verzicht|abandonments
verzichten auf|forgo
Verzichter|abdicator
verzuckern|saccharify
Verzug (m)|delay
verzweigen|branch
Verzweigung (f)|branch
Verzweigung (f)|fork
verzwickt|tricky
verzögern|delay
verzögert|delayed
verzögerte|delayed
verächtlich|abject
veränderlich|variable
verändern|vary
Veränderung (f)|change
verübeln|resent
vessel|Gefäß (n)
vest|Unterhemd (n)
vest|Weste (f)
vestibule|Verbindungsgang (m)
vestibule|Vorraum (m)
Vetter (m)|cousin
viaduct|Viadukt
Viadukt|viaduct
vibrate|vibrieren
vibrated|vibriert
vibrates|vibriert
Vibrationen|vibrations
vibrations|Vibrationen
vibrieren|vibrate
vibriert|vibrated
vibriert|vibrates
vicar|Vikar
video|Video (n)
Video (n)|video
video camera|Videokamera (f)
Videoband (m)|videotape
videocassette|Videokassette (f)
videocassette player|Videokasettespieler (m)
Videokamera (f)|video camera
Videokasettespieler (m)|videocassette player
Videokassette (f)|videocassette
videotape|Videoband (m)
Vieh (n)|cattle
viel|a lot of
viel|many
viele|a lot of
viele|many
viele|umpteen
vielen|many
vielerlei|many
Vielfrass|wolverine
vielleicht|maybe
vier|four
Vierbeiner|quadruped
Viereck|quadrangle
viereckig|square
vierfach|quadruple
Vierfüßer|quadruped
vierhundert|four hundred
Vierhundertjahrestag (m)|quadricentennial
Vierling|quad
Vierlinge|quadruples
Vierlinge (m)|quadruplet
Viermächte|quadripartite
vierseitig|quadrilateral
viersilbig|quadrisyllabic
viertausend|four thousand
vierte|fourth
vierteilen|quarter
Viertel (n)|quarter
Viertelfinale|quarterfinal
vierteljährlich|quarterly
vierwertig|quadrivalent
vierzehn|fourteen
vierzig|forty
view|Anblick (m)
view|Ansicht (f)
view|Ausblick (m)
viewed|betrachten
viewed|sah an
viewing|Besichtigung (f)
viewing|betrachten
viewing|Vorführung (f)
Vikar|vicar
villa|Landhaus (n)
villa|Mansion (f)
villa|Villa (f)
Villa (f)|villa
village|Dorf (n)
village|Ortschaft (f)
villain|Bösewicht (m)
villain|Schurke (m)
vine|Rebe (f)
vine|Rebstock (m)
vine|Wein (m)
vinegar|Essig (m)
vineyard|Weinberg (m)
vineyard|Weingarten (m)
virgo|Jungfrau (f)
virus|Virus (m)
Virus (m)|virus
visa|Visum (n)
viscous|klebrig
viscous|schwerflüssig
viscous|zähflüssig
Visierungen (pl)|sights
Visum (n)|visa
Vitamine (pl)|vitamins
vitamins|Vitamine (pl)
vocal|stimmlich
vocalize|aussprechen
vodka|Wodka (m)
Vogel (m)|bird
voice|Stimme (f)
Vokal (m)|vowel
volcanic|vulkanisch
volcano|Vulkan (m)
Volk (n)|men and women
Volk (n)|nation
Volk (n)|people
Volkscharakter (m)|national character
Volksstamm (m)|tribe
volkstümlich|popular
Volkswirtschaft (f)|economy
volkswirtschaftlich|economic
Volkswirtschaftslehre (f)|economics
voll|full
VOLLSTOPFEN|packed
vollständig|quite
vollständig ausgeschreiben|unabbreviated
volt|Volt (n)
Volt (n)|volt
voltage|Spannung (f)
voltage|Stromspannung (f)
vom|from
vom|from the
von|from
von|of
von außen|without
voodoo|Hexerei (f)
voodoo|Wodu (n)
vor|ago
vor|before
vor|over
vor kurzem|aged
Vorabend (m)|eve
voran|ahead
vorangehen|advance
Voranmeldung (f)|reservation
vorauf|before
vorbedacht|calculated
vorbei|over
vorbei|past
Vorbild (n)|model
vorbringen|state
vorder-|front
Vorderseite (f)|front
Vorderseite (f)|front end
Vorderteil (m)|nose
vordruck|blank
voreilig|hasty
voreilig|rash
Vorfahr|ancestor
Vorfahren|ancestors
Vorfahrt beachten|give way
vorführen|show
Vorführung (f)|show
Vorführung (f)|viewing
Vorgang (m)|process
vorgegeben|default
Vorgeschichte (f)|history
Vorgestern (m)|the day before yesterday
Vorhang (m)|curtain
vorher|before
vorhergehend|anterior
Vorhersage (f)|prognosis
vorhersehen; erwarten|anticipate
vorlaut|fresh
vornehm|dapper
Vorort (m)|suburb
vorortzug|local
Vorplatz (m)|landing
Vorraum (m)|vestibule
vorrätig|unavailable
vorschnell|rash
Vorschrift (f)|prescription
Vorschub|abetment
Vorsicht|caution
vorsichtig|careful
vorsichtig|carefully
Vorsitzende (m)|chairman
Vorstadt (f)|suburb
Vorstellung morgen|Matinee
vorstädtisch|suburban
vorsätzlich|willful
Vorteil|advantage
vortrefflich|excellent
vorwärts|forward
vorzüglich|excellent
vorüber|past
vote|abstimmen
vote|Abstimmung (f)
vote|Stimmabgabe (f)
vote|Stimme (f)
vote|stimmen
voters|Wähler (pl)
vow|Gelübde (n)
vow|geloben
vow|Schwur (m)
vowel|Selbstlaut (m)
vowel|Vokal (m)
Vulkan (m)|volcano
vulkanisch|volcanic
vulture|Aasgeier (m)
vulture|Geier (m)
Völkermord|genocide
Völkerwanderung|migration
Völkerwanderungen|migrations
völlig|absolutely
völlig|full
