928
Waage (pl)|libra
wandernd|migratory
Wanderungsstiefel (pl)|hiking boots
wann|when
wann|whenever
wann auch immer|whenever
want|Bedarf (m)
want|benötige
want|benötigen
want|brauchen
wanted|gesucht
wanting|fehlend
Wapiti|elk
Wapitis|elks
war|Krieg (m)
war zahlenmäßig überlegen|outnumbered
Warenhaus (n)|department store
Warenrechnung (f)|invoice
Warenzeichen (n)|trademark
warfare|Krieg
warlord|Kriegsherr
warlordism|Kriegsherren
warm|warmly
warmer|wärmer
warmest|wärmste
warmhearted|warmherzig
warmheartedness|Warmherzigkeit
warmherzig|warmhearted
Warmherzigkeit|warmheartedness
warmly|warm
warmness|Wärme
warmth|Wärme
warmup|Aufwärmen
warn|warnen
warned|gewarnt
warnen|warn
warnend|warningly
warning|Warnung
warningly|warnend
warnings|Warnungen
warns|warnt
warnt|warns
Warnung|warning
Warnungen|warnings
warrior|Krieger
wars|Kriege
warship|Kriegschiffen
wart|Warze
wartbar|maintainable
warten|wait
wartend|waiting
Warteraum (m)|waiting room
wartet|waits
wartezeit|wait
Wartung (f)|servicing
Wartungen|maintenances
warum|why
Warze|wart
was|what
Waschanstalt (f)|laundry
Waschbaer|raccoon
Waschbaeren|raccoons
waschecht|fast
waschen|shampoo
waschen|wash
waschen|wash
waschend|washing
Waschlappen|wimp
Waschung|ablution
Waschzettel (m)|laundry list
wash|spülen
wash|waschen
wash|waschen
washed|gewaschen
washed|wusch
washing|waschend
wasp|Wespe
Wasser (n)|aqua
Wasser (n)|water
Wasserbett (n)|water bed
wasserdicht|waterproof
wasserdicht|watertight
Wasserfall|waterfall
Wasserfarbe|watercolor
Wasserfälle|waterfalls
wassergedichtet|waterproofed
Wasserhahn (m)|tap
Wasserhahn (m)|water tap
Wasserkraft|waterpower
Wasserloch|waterhole
wasserlos|waterless
Wasserlöcher|waterholes
Wassermann (m)|aquarius
Wassermelone (f)|watermelon
Wasserskier (pl)|water skis
Wasserstiefel|wader
Wasserstrahl (m)|jet
Wasservogel|waterfowl
Wasserzeichen|watermark
waste|Öde (f)
waste|vergeuden
waste|verschwenden
waste|Abfall
wastebasket|Abfalleimer
wasted|verschwendet
watch|Beachtenuhr (f)
watch|bewachen
watch|Uhr (f)
watch out|wacht aus
waten|wade
water|begießen
water|tränken
water|Wasser (n)
water|wässern
water bed|Wasserbett (n)
water skis|Wasserskier (pl)
water tap|Wasserhahn (m)
watercolor|Wasserfarbe
watercress|Brunnenkresse
waterfall|Wasserfall
waterfalls|Wasserfälle
waterfowl|Wasservogel
waterfront|Ufer
waterhole|Wasserloch
waterholes|Wasserlöcher
waterless|wasserlos
watermark|Wasserzeichen
watermelon|Wassermelone (f)
waterpower|Wasserkraft
waterproof|wasserdicht
waterproofed|wassergedichtet
waterside|Ufer
watertight|wasserdicht
watscheln|waddle
Watte|wadding
Watte (f)|cotton swab
Wattierung|wadding
Watvogel|wader
wave|Welle (f)
wave|wellen
wave|winken
wave|Winken (n)
wave|wogen
waved|winkte zu
way|Weg
way out|Ausgang (m)
we|wir
we'll|wir werden
we're|wir sind
we've|wir haben
weak|schwach
weaken|schwächen
weaker|schwächer
weakest|schwächste
weakish|schwächlich
weakly|schwach
weakness|Schwäche
weaknesses|Schwächen
wealth|Reichtum
wealthier|reicher
wealthiest|reichste
wealthy|reich
wean|entwöhnen
weaned|entwöhnt
weapon|Waffe
weapons|Waffen
wear|tragen
weasel|Wiesel
weaseling|herauswinden
weather|Wetter
weather|Wetter (n)
weather|Witterung (f)
weatherproof|wetterfest
weatherproofness|Wetterfestigkeit
weatherworn|verwittert
weave|weben
weaving|weben
web|Netz
weben|weave
weben|weaving
weblike|netzartig
Wechsel (m)|money exchange
Wechselgeld (n)|change
Wechselkurs (m)|rate of exchange
wechseln|change
Wechselstromgenerator (m)|alternator
wecken|wake
Wecker (m)|alarm clock
wed|heiraten
wedding|Hochzeit
wedding|Hochzeit (f)
wedding|vermählend
wedding|Heirat
wedding ring|Trauring (m)
wedeln|wag
wedeln|waggle
weder|neither
wedge|Keil
wedlock|Ehe
Wednesday|Mittwoch (m)
week|Woche
week|Woche (f)
weekday|Wochentag
weekdays|Wochentage
weekend|Wochenende
weekends|Wochenenden
weeklies|Wochenzeitungen
weekly|wöchentlich
weekly|wöchentlich, Wochenzeitung
weekly|Wochenzeitung (f)
Weg|way
weggehend|going
weggelassen|omitted
weglassen|omit
weh|hurt
weh|sore
wehen|waft
wehren|fight
Weib (f)|wife
Weib (f)|woman
Weib (n)|female
Weibchen (n)|female
weiblich|female
weiblich|feminine
Weiblichkeit|feminineness
Weiblichkeit|femininity
weich|soft
Weiche (f)|switch
weichen|yield
weichherzig|mildhearted
weichlich|soft
Weide|willow
weigh|wiegen
weight|Gewicht
weight|Gewicht (n)
weight|Last (f)
weight|Stellenwert (m)
weight|Wucht (f)
weightier|gewichtiger
weightily|gewichtig
weightiness|Gewichtigkeit
weightless|gewichtslos
weightlessness|Gewichtslosigkeit
weightlessness|Gewichtslosigkeit, Leichtigkeit
weights|Gewichte
weighty|gewichtig
weihen|hallow
Weiher (m)|pond
Weihnachten (n)|Christmas
Weihnachtsgeschänk (n)|Christmas gift
Weihnachtslied (n)|carol
Weihnachtstag (m)|Christmas day
Weihnachtsvorabend (m)|Christmas eve
weil|because
weil|since
Weile|while
Wein (m)|vine
Wein (m)|wine
Weinberg (m)|vineyard
weinbrand|brandy
Weinbrand (m)|brandy
weinen|cry
Weingarten (m)|vineyard
Weinglas (n)|wine glass
Weinkarte (f)|wine list
Weinkellerei (f)|winery
Weintrauben (pl)|grapes
weird|seltsam
weirder|seltsamer, merkwürdiger
weirdie|seltsamer Typ, komischer Kauz
weirdo|seltsamer Typ, komischer Kauz
weise|wise
Weisheit|wisdom
weiss|blank
weisse Rübe (f)|turnip
weit|far
weit|large
weit|long
weit|wide
weiter|further
weiter ferner|further
weitverbreitet|popular
weitverbreitet|widespread
Weizen (m)|wheat
weiß|white
welche|what
welche|which
welchen|whom
welcher|what
welcher|which
welcher|who
welches|what
welches|which
welcome|begrüßen
welcome|Willkommen (n)
welcome|willkommen, Willkommen
welcoming|einladend
welded|geschweißt
welder|Schweißer
welding|Schweißen
welfare|Wohlfahrt, Sozialhilfem Sozial-
well|gut, Brunnen
well over|wohl über
well-known|bekannt
wellbeing|Wohlergehen
Welle|arbor
Welle (f)|wave
wellen|wave
Wellenreiten (m)|surf
Wellenreiter (m)|surfer
Wellenreiterbrett (n)|surfboard
Welligkeit (f)|ripple
wellness|Wohlbefinden
wellwisher|Gratulanten
welsh|walisisch
Welt (f)|world
Weltanschauung (f)|philosophy
weltgeschichtlich|historical
Weltkugel (f)|globe
weltlich|mundane
weltlich|worldly
weltnah|worldly
Weltpokal (m)|world cup
Weltsbürger (m)|citizen of the world
Weltsbürgerin (f)|citizen of the world
weltweit|worldwide
wem|whom
wen|whom
Wendekreis (m)|tropic
wenig|few
wenige|few
weniger|fewer
weniger|less
wenigstens|at least
wenn|if
wenn|when
wenn ich aus Bedienung|let me know if I can be of service
went|ging
wer|who
Werbung (f)|advertising
werde|will
Werdegang (m)|development
werden|be
werden|become
werden|get
werden|will
werewolf|Werwolf
werewolves|Werwölfe
Werft|yard
werklich|notable
werkmüdig|notable
Werkstatt (f)|plant
Werkstatt (f)|shop
Werkstatt (f)|workshop
Werkzeug (n)|tool
Werkzeug (n)|tool kit
Werkzeuge|gadgets
Wermut|absinth
Wermut|absinthe
Wermut (m)|vermouth
Wert (m)|worth
Wertpapieren|securities
Werwolf|werewolf
Werwölfe|werewolves
wesentlich|essential
wesentlich|essentially
Wespe|wasp
west|am Westen
Weste|waistcoats
Weste (f)|vest
Weste (f)|waistcoat
Western Hemisphere|Westhemisphäre (f)
Westhemisphäre (f)|Western Hemisphere
wet|nass
Wette|wager
Wetten|wagers
Wetter|weather
Wetter (n)|weather
wetterfest|weatherproof
Wetterfestigkeit|weatherproofness
whale|Wal
what|was
what|welche
what|welcher
what|welches
what|wie
wheat|Weizen (m)
wheel|Rad
wheelchair|Rollstuhl (m)
when|als
when|als wo da nachdem
when|sobald
when|wann
when|wenn
whenever|wann
whenever|wann auch immer
where|Wo
where|wo
where|wo inwiefern wohin
where|wohin
whether|entweder oder
whether|ob
whether|ob oder
which|welche
which|welcher
which|welches
while|Weile
while|während
whip|Peitsche
Whisky (m)|scotch whiskey
whistle|pfeifen
whistle|Pfeife
white|weiß
whitey|man
whittle|schnitzen
who|welcher
who|wer
whole|ganz
whole|Ganze (n)
wholesale|großhandel
wholesale|im Bausch und Bogen
wholesome|gesund
whom|welchen
whom|wem
whom|wen
whore|Hure
why|warum
why|wieso
Widder (m)|aries
Widder (m)|ram
wide|weit
wider|against
widersinnig|absurd
widerspiegeln|mirror
widerstandsfähig|tough
widerstehen|withstand
widerstreben|jib
widerwärtig|abominable
widespread|weitverbreitet
widow|Witwe
widower|Witwer
widowers|Witwer
widows|Witwen
width|Breite
wie|how
wie|in what way
wie|what
wie auch immer|however
wie Englisch spri|is there a doctor who speaks English
wie gehts es Ihnen|pleased to meet you
wieder|again
wieder|back
wiedergeben|picture
wiederrufen|abjure
wiedersehen|good-bye
wiederum|again
Wiege (f)|cradle
wiegen|cradle
wiegen|rock
wiegen|weigh
Wiesel|weasel
wieso|why
wieviel|how much
wieviele Betten sind in der Kabine|how many berths are there in the cabin
wife|Ehefrau (f)
wife|Ehegattin (f)
wife|Frau (f)
wife|Gattin (f)
wife|Weib (f)
wig|Perrücke
wild|heftig
wild|verrückt
Wild (n)|game
Wildbret (n)|game
Wildbret (n)|venison
wildcat|Wildkatze
wilderness|Wildniss
Wildfang|madcap
Wildkatze|wildcat
Wildleder (n)|suede
wildlife|Natur (f)
Wildniss|wilderness
Wilhelm|William
will|möchte
will|Testament (n)
will|werde
will|werden
will|Wille (f)
will|willen
Wille (f)|will
willen|will
Willenskraft (f)|willpower
willful|eigensinnig
willful|vorsätzlich
William|Wilhelm
willig|ready
willkommen|welcome
Willkommen|welcome
Willkommen (n)|welcome
willkürlich|arbitrarily
willkürlich|arbitrary
willow|Weide
willpower|Willenskraft (f)
wimp|Feigling, Waschlappen
Wimper (m)|eyelash
Wimperntusche (f)|mascara
wimpiness|Feigheit
win|gewinnen
win|siegen
wince|zusammenzucken
wind|winden
windbreak|Windschutz (m)
Windel (f)|diaper
winden|wind
windig|windy
winding road|biegende Straße (f)
windless|windstill
windlessness|Windstille
windmill|Windmühle
windmill|Windmühle (f)
windmills|Windmühlen
Windmühle|windmill
Windmühle (f)|windmill
Windmühlen|windmills
window|Fenster
window|Fenster (n)
window glass|Fensterglas (n)
window seat|Fensterplatz (m)
windowed|mit Fenstern
windowless|fensterlos
windowpane|Fensterscheibe
windowpanes|Fensterscheiben
windows|Fenster (pl)
Windschutz (m)|windbreak
Windschutzscheibe (f)|windshield
Windschutzscheibewischer (pl)|windshield wipers
Windschutzscheibewischerflüssigkeit (f)|windshield wiper fluid
windshield|Windschutzscheibe (f)
windshield wiper fluid|Windschutzscheibewischerflüssigkeit (f)
windshield wipers|Windschutzscheibewischer (pl)
windstill|windless
Windstille|windlessness
windy|windig
wine|Wein (m)
wine glass|Weinglas (n)
wine list|Weinkarte (f)
winery|Weinkellerei (f)
wing|Flügel (m)
wing|Gruppe (f)
wink|zwinkern
Wink (m)|tip
Winkel (m)|square
winken|wave
Winken (n)|wave
winkte zu|waved
winner|Gewinner (m)
winner|Sieger (m)
winter|Winter (m)
Winter (m)|winter
wir|we
wir haben|we've
wir sind|we're
wir werden|we'll
Wirbel (m)|eddy
Wirbelsäule (f)|spine
wire|Draht (m)
wire|verdrahten
wire money|Telegrammgeld (n)
wirken|have an effect
wirklich|actual
wirklich|real
wirklich|really
wirksam|effective
Wirkung (f)|effect
Wirkung (f)|operation
Wirkungskraft (f)|effect
wirkungsvoll|effective
wirst|would
Wirtin (f)|hostess
Wirtschaft (f)|economy
Wirtschaft (f)|tavern
wirtschaftlich|economic
wirtschaftlich|economical
Wirtschaftswissenschaft (f)|economics
Wirtshaus (n)|inn
wisdom|Weisheit
wise|weise
wish|wünschen
wish|Wunsch (m)
wisp|Irrlicht
Wissen|knowhow
Wissen|knowledge
Wissenschaf (f)t|science
witch|Hexe
witchcraft|Hexerei
witches|Hexen
witching|hexen
witchlike|hexenhaft
with|bei
with|mit
with|nebst
with|per
wither|verblühen
wither|verdorren
wither|verkümmern
wither|verwelken
withholds|zurückhalten
without|ohne
without|sonder
without|äußerlich
without|von außen
withstand|widerstehen
witness|Zeuge
witnesses|Zeugen
Witterung (f)|weather
witty|geistreich
Witwe|widow
Witwen|widows
Witwer|widower
Witwer|widowers
Witz|gag
Witz (m)|joke
Witzbold (m)|joker
Witze|gags
Witzeschreiber|gagwriter
Witzeschreiber|gagwriters
wive|Ehefrau
wizard|Zauberer
wizardry|Zauberei
wizards|Zauberer
Wo|where
wo|where
wo inwiefern wohin|where
Woche|week
Woche (f)|week
Wochenende|weekend
Wochenenden|weekends
Wochenmitte|midweek
Wochentag|weekday
Wochentage|weekdays
Wochenzeitung|weekly
Wochenzeitung (f)|weekly
Wochenzeitungen|weeklies
Wodka (m)|vodka
Wodu (n)|voodoo
wogen|wave
wohin|where
wohl über|well over
Wohlbefinden|wellness
wohlbehalten|safely
Wohlergehen|wellbeing
Wohlfahrt|welfare
Wohltätigkeit (f)|charity 
wohnlich|cozy
Wohnsitz|abode
Wohnung|apartment
wohnung|flat
Wohnung (f)|apartment
Wohnwagenpark (m)|trailer park
wolfhound|Wolfshund
wolflike|wölfisch
Wolfshund|wolfhound
Wolke (f)|cloud
Wolle (f)|wool
wollte|would
wolverine|Vielfrass
wolves|Wölfe
woman|Frau (f)
woman|Weib (f)
women|Frauen (pl)
women's clothes|Frauenkleidungen (pl)
wonder|sich fragen
wonder|staunen
wonder|Verwunderung (f)
wonder|Wunder (n)
wonderful|fabelhaft
wonderful|herrlich
wonderful|wunderbar
wonderful|wundervoll
wondering|wundernd
wood|Holz (n)
wood|Wald (m)
woodcutter|Holzschnitzer (m)
woodpecker|Specht (m)
wool|Wolle (f)
word|Datenwort (n)
word|Wort (n)
word processor|Textbearbeitungssystem (n)
work|Arbeit
worker|Arbeiter (m)
workhorse|Arbeitstier (n)
workshop|Werkstatt (f)
world|Welt (f)
world cup|Weltpokal (m)
worldly|weltlich
worldly|weltnah
worldwide|weltweit
worm|Wurm (m)
wormhole|Wurmloch (n)
worn|abgetragen (of clothes)
worry|aufreiben
worry|Sorge (f)
worship|Verehrung (f)
Wort (n)|word
worth|Wert (m)
would|wirst
would|wollte
would|würde
would|würde hätten
would|würden
wound|verwunden
wound|Verwundung (f)
wound|Wunde (f)
Wrack (n)|wreck
wrap|einwickeln
wreck|Wrack (n)
wren|Zaunkönig
wrestle|ringen
wrist|Handgelenk (n)
wristwatch|Armbanduhr (f)
write|aufschreiben
write|beschreiben
write|schreibe
write|schreiben
write|schreibt
write|verfassen
writer|Schreiber (m)
writer|Schriftsteller (m)
writing|druckend
writing|schreibend
writing|Schrift (f)
writing|schriftstück
writing pad|Screibblock (m)
written|geschreiben
written|schriftlich
wrong|falsch
wrong|irre
wrong|schädigen
wrong|unrecht
wrong|verkehrt
wrote|mitteilte
wrote|schrieb
Wucht (f)|weight
wund|sore
Wunde (f)|sore
Wunde (f)|wound
Wunder (n)|wonder
wunderbar|wonderful
wundernd|wondering
wundervoll|wonderful
Wunsch (m)|wish
Wurm (m)|worm
Wurmloch (n)|wormhole
Wurst (f)|sausage
Wurzeln (pl)|carrots
wusch|washed
Wut (f)|rage
wählbar|electable
Wählbarkeit|electability
wählen|choose
wählen|dial
wählen|select
Wähler (pl)|voters
Wählerschaft (f)|electorate
Wählscheibe (f)|dial
wählte|chose
während|during
während|while
Währung (f)|currency
Wärme|warmness
Wärme|warmth
Wärme (f)|heat
wärmer|warmer
wärmste|warmest
Wäsche (f)|laundry
Wäsche (f)|linen
Wäscherei (f)|laundry
Wäschestärke (f)|starch
wässern|water
wöchentlich|weekly
wöchentlich|weekly
Wölbung (f)|arch
Wölfe|wolves
wölfisch|wolflike
Wörterbuch (n)|dictionary
wünschen|wish
Würde|abbacy
würde|would
würde hätten|would
würden|would
würdigen|honor
würfelte durcheinander|jumbled
wüten|rage
