366
zack! |zap
Zeilen (pl)|lines
Zeit (f)|time
zeitgemäß|timely
Zeitgenosse (m)|contemporary
zeitgenössisch|contemporary
zeitig|early
zeitlich|time
Zeitpunkt (n)|time
Zeitraum (m)|period
Zeitschrift (f)|journal
Zeitschrift (f)|magazine
Zeitschrift (f)|periodical
Zeitung (f)|journal
Zeitungen (pl)|newspapers
Zeitungsanzeige (f)|advert
Zeitungshändler (m)|newsstand
Zeitvertreibpark (m)|amusement park
Zeitwort (n)|verb
Zellophan (n)|cellophane
Zelotismus|zealotry
zelten|camp
Zement (m)|cement
Zenit (m)|zenith
zenith|Scheitelpunkt (m)
zenith|Zenit (m)
zentral|central
zeolite|Zeolith
Zeolith|zeolite
zerbrechlich|fragile
zerbrochen|broken
Zeremonie (f)|ceremony
zerlegen|carve
zermahlen|pulverize
Zero|naught
zero|Null (f)
zero|Null, Nichts
zero|Nullpunkt (m)
zeroes|Nullen
zeros|Nullen
zeroth|Nullte
zerquetschen|squash
zerreiben|pulverize
zerren|pull
zerstampfen|bruise
zerstampfte|bruised
zerstreuen|amuse
zerstreut|abstracted
zest|Begeisterung (f)
zest|Lust, Gefallen
Zestörer|destroyer
Zeuge|witness
Zeugen|witnesses
Zickzack|zigzag
Zickzack (m)|zigzag
Zickzack-|zigzagged
Zickzackteilstück (n)|zag
Zickzackteilstücke (pl.)|zags
Ziege (f)|goat
ziehen|pull
Ziehharmonika (f)|accordion
Ziehung (f)|drawing
zielen|aim
zielen|aiming
Zieler|aimer
Zielern|aimers
Zielkonflikt|tradeoff
ziellos|aimless
zielt|aims
ziemlich|fairly
ziemlich|quite
Zierde (f)|honor
zierlich|delicate
Ziffer (f)|numeral
Ziffer (f)|rate
Ziffer (m)|digit
Zifferblatt (n)|dial
zig-mal|umpteen
Zigarette (f)|cigarette
Zigaretten (pl)|cigarettes
Zigarre (f)|cigar
zigzag|Zickzack, im Zickzack (laufen etc.)
zigzag|Zickzack (m)
zigzagged|Zickzack-
Zimmer (n)|room
Zimmer frei|vacancies
Zimmerbedienung (f)|room service
Zimmerdienst (m)|room service
Zimmermannabc|carpenter
Zimmernummer (f)|room number
Zimmerschlüssel (m)|room key
zinc|Zink
Zink|zinc
Zins (m)|interest
zinsen|interest
zip|Surren
Zipfel|dag
Zipfel (m)|tip
zipped|mit Reissverschluss
zipper|Reissverschluss
zipper|Reißverschluß (m)
zipper|Schnellverschluß (m)
zippers|Reissverschlüsse
Zirkel (m)|circle
zischen|hiss
Zitat (n)|quote
zitherist|Zitherspieler
Zitherspieler|zitherist
zitieren|quote
Zitrone (f)|lemon
Zitronen|lemons
zloty|Zloty (poln. Währung)
Zloty (poln. Währung)|zloty
zlotys|Zlotys (poln. Währung)
Zlotys (poln. Währung)|zlotys
Zobel (m)|sable
zodiac|Sternzeichen
zodiac|Tierkreis
zodiac|tierkreis
zodiacal|Tierkreis-
zog|pulled
zog zurück|retired
Zoll (f)|customs
Zoll (m)|customs
Zollamt (n)|custom
Zollamtmakler (m)|customs broker
Zollbeamte (m)(f)|customs official
Zollfreie Waren|nothing to declare
Zollfreigeschäft (n)|duty-free shop
Zollämter (pl)|customs
zombie|Trantüte (f)
zone|Gebiet (n)
zone|Zone (f)
Zone (f)|zone
Zonen|zones
zones|Zonen
zoo|Zoo (m)
Zoo (m)|zoo
Zoologe|zoologist
Zoologen|zoologists
zoologic|zoologisch
zoological|zoologisch
Zoologie|zoology
zoologisch|zoologic
zoologisch|zoological
zoologist|Zoologe
zoologists|Zoologen
zoology|Zoologie
zoom|zoomen
zoomen|zoom
zoos|Zoos, Tiergärten
Zotte|dag
zu|at
zu|for
zu|to
zu Bett|abed
zu kautionieren|bailable
Zubehoer|accessory
Zubehör|accessories
Zubehör|accessory
Zucherrohr (n)|sugar cane
zucken|flash
zucken|jerk
zucker|sugary
Zucker (m)|sugar
zuckersüß; Saccharin-|saccharine
zuerst|first
zufaellig|accidental
zufaelligerweise|accidentally
Zufall (m)|accident
Zufall (m)|hazard
zufriedenstellen|satisfy
zufuegen|add
zufällig gelegentlich|occasional
zufälliges Ereignis (n)|accident
Zug (m)|drawing
Zug (m)|move
Zug (m)|pull
Zug (m)|train
Zugang|access
Zugkraft (f)|pull
Zugmaschine (f)|tractor
zugänglich|accessible
Zugänglichkeit|accessibility
zuhause|home
zuknöpfen|button
zulassen|let
zulassen|permit
zuleide|hurt
zuletzt|finally
zum|to the
zum Verrücktwerden|maddening
zum x-ten mal|umpteenth
zumindest|at least
Zuneigung|affection
Zunge (f)|tongue
zunähen|suture
zupfen|pull
zurueck verfolgen|backtracked
zurück|again
zurück|back
zurück|back
Zurückadresse (f)|return address
Zurückfahrkarte (f)|round-trip ticket
zurückhalten|withholds
zurückhaltend|cagey
zurücklehnen|recline
zurücknehmen|abjure
Zurückreise (f)|round-trip
Zusaetzlich|additionally
zusammen; gaenzlich (wholly)|altogether
zusammenfassen|collect
Zusammenfluß (m)|confluence
zusammengefasst|abridgement
Zusammenhang (m)|connection
zusammenkoppeln|yoke
zusammenlegbar|folding
zusammenpacken|package
zusammenpressen|sandwich
Zusammenrottung (f)|riot
Zusammensetzung (f)|combination
zusammenziehen|contract
zusammenzucken|wince
Zusatz|addition
Zuschauer|onlooker
Zuschauer|onlookers
zuschnappen|click
zusenden|send
zusichern|assure
Zustand|habit
Zustand (m)|state
zustellend|serving
zustimmen|accede
zustimmen|agree
Zustimmung (f)|okay
zusätlich|other
zusätzlich|extra
zuteilen|portion
zutreffen|apply
Zutritt verboten|no admission
zuviel|too much
zuvor|before then
zuwandern|immigrate
Zuwendung (f)|donation
zuwider|abhorrent
zuwiel gegessen haben|ate too much
zuwiel getrunken haben|drank too much
zuziehen|contract
zwanzig|twenty
zwei|two
Zweibeln (pl)|onions
zweifelhaft|dubious
Zweig (m)|branch
Zweig (m)|leg
zweihundert|two hundred
zweimal|twice
Zweirad (m)|bicycle
zweisprachig|bilingual
zweit|second
zweit-|second
zweitausend|two thousand
Zweite (m)|second
Zweiter (m)|second
zweitklassig|second-class
Zweitkopien|backups
zweiundachtzig|eighty two
Zwetschge (f)|plum
zwiebel|onion
Zwiebel (f)|onion
zwiebeln|onions
zwiefach|double
Zwinger|kennel
zwinkern|wink
Zwirn (m)|twine
Zwirnband (n)|tape
zwirnen|twine
Zwischenraum (m)|space
Zwischenstecker (m)|adapter
zwot-|second
zwölf|twelve
zäh|tough
zähflüssig|viscous
Zähler (m)|meter
Zähne (pl)|teeth
Zäpfchen (pl)|suppositories
zö|sac
Zölle (pl)|customs
zügeln|curb
zünden|ignite
zündhölzer|matches
Zündung (f)|ignition
