1933
saber|Saebel, der
scheitert|fails
Schelle (f)|bell
schellen|ring
Schellfisch (m)|haddock
Schelmerei|waggery
Schenke (f)|tavern
Schenkel (m)|thigh
schenken|donate
schenken|give
Schenkung (f)|donation
Schere (pl)|scissors
Scherz (m)|joke
scherzen|joke
Scheuer (f)|barn
Scheuermittel|abrasives
scheuern|jib
Scheune (f)|barn
Schi (m)|ski
schicken|send
schickend|sending
Schicksal|kismet
Schicksal (n)|destiny
Schicksalsschlag|calamity
schickt|send
schieben|shove
schiebt|slides
Schiedsrichter|umpire
Schienbein (n)|shin
schier|sheer
schiessen|shoot
schießen|shoot
Schiff (n)|ship
schiffen|ship
schilaufen|ski
Schild|badge
Schild (m)|label
Schild (n)|sign
Schilder|badges
schimmel|mold
Schinken (m)|ham
Schirm (m)|screen
Schirm (m)|umbrella
Schlacht (f)|battle
Schlachthaus|abattoir
Schlaf (m)|sleep
schlafen|sleep
schlafend|asleep
schlafend|sleeping
Schlafwandeln|noctambulation
Schlafwandeln|noctambulism
Schlafwandler|noctambulist
Schlafzimmer (n)|bedroom
schlag (m)|shock
schlagen|fell
schlagen|hit
schlagen|punching
Schlager (m)|hit
Schlagholz (n)|club
schlagt|socks
Schlamassel (m)|mess
Schlamm|sludge
Schlange (f)|snake
Schlauch (m)|hose
schlecht|bad
schlecht|poor
schlechte Fahrbahn|bad surface
schlechthin|quite
Schlechtigkeit|badness
Schlechtschnitt (m)|bad cut
Schlegel (m)|drumstick
Schleier|veil
Schleier|veils
Schleifmittel|abrasives
schleppen|tow
Schlepper (m)|tractor
schleuderte|hurled
Schleuse (f)|lock
Schlich (m)|trick
schlicht|plain
schlicht|simple
schlicht|unadorned
schließen|close
schließlich|final
schließlich|finally
Schliff|cut
Schliff (m)|polish
Schlinge (f)|halter
schlingern|roll
Schlips (m)|necktie
Schlips (m)|tie
Schlitten (m)|sled
Schloss|lock
Schloß (n)|castle
Schloß (n)|lock
schluck|gulp
Schluckauf (m)|hiccup
Schluss (m)|close
Schluss (m)|conclusion
Schlußverkauf (m)|clearance sale
Schlußverkauf (m)|sale
schläfchen|nap
schläfrig|sleepy
Schläger (m)|club
Schlösser|locks
Schlüpfer (pl)|panties
Schlüssel (m)|key
Schlüsselloch|keyhole
Schlüssellöcher|keyholes
schmackhaft|delicate
schmal|narrow
schmaler|narrower
schmalst-|narrowest
schmarotzen|sponge
schmeicheln|cajole
schmeicheln|flatter
schmeißen|hit
Schmerz (m)|pain
schmerzen|ache
schmerzen|hurt
schmerzen|pain
schmerzend|aching
schmerzhaft|painful
schmerzlich|painful
schmerzte|ached
Schmetterling (m)|butterfly
Schmiere (f)|grease
schmieren|grease
schmierig|greasy
schminken|rouge
Schmuck (f)|jewelry
Schmus|applesauce
Schmutz (m)|dirt
Schmutz (m)|grime
schmutzigen Kleidungen (pl)|dirty clothes
Schnabel (m)|bill
schnalzen|click
Schnaps (m)|brandy
Schnapsbrennerei (f)|distillery
schnarchen|snore
schnarren|buzz
Schnaufer (m)|breath
Schnauze (f)|muzzle
Schnee (m)|snow
Schneeschuhe (pl)|snowshoes
Schneesturm (m)|blizzard
Schneide (f)|edge
schneien|snow
schnell|fast
schnell|quick
schnellen|jerk
schneller|faster
schnellere|faster
Schnellessen (n)|junk food
Schnellimbisse (pl)|snacks
Schnellverschluß (m)|zipper
Schnitt (m)|cut
Schnitt (m)|incision
schnitzen|carve
schnitzen|whittle
Schnitzerei (f)|carving
Schnitzwerk (n)|carving
schnorren|cadge
schnupfen|cold
Schnupftuch (n)|handkerchief
Schnur (f)|cord
Schnur (f)|lace
Schnurrbart (m)|mustache
schnüren|lace
schnürsenkel (m)|shoelace
Schokolade (f)|chocolate
Scholle (f)|plaice
schon|already
school|derSchule
Schosstier (n)|pet
Schotterdecke|macabre
Schottland|Scotland
schraffieren|shade
Schrank (m)|cabinet
Schraube (f)|screw
schrauben|screw
Schraubendreher (m)|screwdriver
Schraubenmutter (f)|nut
Schraubenmütter (f)|nuts
Schraubenzieher (m)|screwdriver
schrecklich|abominably
schrecklich|terrible
Schrei (m)|cry
schreibe|write
schreiben|type
schreiben|write
schreiben abfassen|pen
schreibend|writing
Schreibepapier (n)|typing paper
Schreiber (m)|clerk
Schreiber (m)|writer
Schreibheft (n)|notebook
Schreibmarke (f)|cursor
Schreibmaschine (f)|typewriter
schreibt|write
Schreibtisch (m)|desk
schreien|cry
schreien|yell
schreiend|yelling
schrie|yelled
schrieb|wrote
Schrift (f)|writing
Schriftart (f)|font
schriftlich|written
Schriftsatz (f)|font
Schriftsatz (m)|type
Schriftseite (f)|face
schriftsetzend|typesetting
Schriftsteller (m)|author
Schriftsteller (m)|writer
schriftstück|writing
Schrifttum (m)|literature
Schritt|pace
Schritt (m)|step
Schrittmachen|pacemaking
schrittmachen|pacesetting
Schrittmacher|pacemaker
Schrittmacher|pacesetter
Schubs (m)|shove
Schuft (m)|cad
Schuh (m)|shoe
schuhanzieher|shoehorn
Schuhe (pl)|shoes
Schuhglanz (m)|shoeshine
Schuhlöffel (m)|shoehorn
schuhmacher|shoemaker
schuldig|due
Schulter (f)|shoulder
schultern|shoulder
Schuppen|dandruff
schuppig|dandruffy
Schurke (m)|villain
Schuster (m)|shoemaker
Schutz|safeguard
Schutzmarke (f)|trademark
Schuß (m)|rear
Schußwaffe (f)|gun
schwach|feeble
schwach|weak
schwach|weakly
Schwaetzer|babbler
schwaetzt|babbles
Schwamm (m)|sponge
Schwank (m)|story
schwanken|vacillate
schwankern|vacillate
Schwanz (m)|tail
schwarz|black
schwarze|black
Schwarzseher (m)|pessimist
schwatzen|babble
Schweif (m)|tail
Schweif (m)|train
Schwein (n)|hog
Schwein (n)|pig
Schweinefleisch (n)|pork
Schweinestall (m)|sty
Schweißen|welding
Schweißer|welder
schwer|hard
schwer|heavenly
schwer|heavy
schwerer|heavier
schwerflüssig|viscous
schwerfällig|stodgy
Schwester (f)|nurse
Schwester (pl)|sister
Schwesternschaft (f)|sisterhood
Schwiele (n)|bunion
schwimmend|afloat
schwimmend|swimming
schwindlig|dizzy
Schwuere|oaths
schwul|gay
schwul|gayly
Schwul (m)|homosexual
schwuler|gayer
Schwulsein|gayness
Schwung (m)|motion
Schwur|oath
Schwur (m)|vow
Schwäche|feebleness
Schwäche|weakness
schwächen|weaken
Schwächen|weaknesses
schwächer|feebler
schwächer|weaker
schwächlich|weakish
schwächste|feeblest
schwächste|weakest
Schwären (m)|boil
schädigen|wrong
schädigte|damaged
schäfer-|pastoral
schändlich|infamous
Schärfe|abrasiveness
schön|beautiful
schön|fair
schön|nice
Schönheit (f)|beauty
Schößling (m)|shoot
Schüler (m)|student
Schüssel (f)|bowl
Schüssel (f)|dish
schütteln|wag
Schütze|marksman
Schütze (m)|sagittarius
Schützenverein|marksmanship
science|Wissenschaf (f)t
scissors|Schere (pl)
Scorpio|Skorpion (m)
Scotch (m)|scotch whiskey
scotch whiskey|Scotch (m)
scotch whiskey|Whisky (m)
Scotland|Schottland
scrambled|klettete
scrambled|verschlüsselt
screen|Bildschirm (m)
screen|Leinwand (f)
screen|Raster (m)
screen|Schirm (m)
screen|tarnen
Screibblock (m)|writing pad
Screibheftdatenverarbeitungsanlage (f)|notebook computer
screw|Schraube (f)
screw|schrauben
screwdriver|Schraubendreher (m)
screwdriver|Schraubenzieher (m)
scuba|Unterwassersauerstoffapparat (m)
scuba gear|Unterseeatmenapparat (m)
scuba tank|Unterseeatmentank (m)
sculptor|Bildhauer (m)
sculpture|Bildhauerei (f)
sculpture|meisseln
sculpture|Skulptur (f)
Scutthalde (f)|tip
scwaetzen|babbling
sea|Meer (n)
sea|See (f)
sea bass|Seebaß (m)
seal|Abdichtung (f)
seal|Blechverschluß (m)
seal|Dichtung (f)
seal|Seehund (m)
seal|siegeln
sealing tape|Siegelband (n)
search|absuchen
search|durchsuchen
search|Durchsucht (f)
search|Suche (f)
search|suchen
searching for|suchend für
seashell|Muschelschale (f)
seaside|Seeküste (f)
seat|einpassen
seat|Platz (m)
seat|Sitz (m)
seat|Sitzplatz (m)
seat assignment|Sitzanweisung (f)
seat belt|Sicherheitsgurt (m)
seat number|Platznummer (f)
sechs|six
Sechsbiteinheit (f)|sextet
sechshundert|six hundred
sechst-|sixth
sechste|sixth
sechszehn|sixteen
sechszig|sixty
sechzehn|sixteen
sechzig|sixty
second|Sekunde (f)
second|zweit
second|zweit-
second|Zweite (m)
second|Zweiter (m)
second|zwot-
second-class|zweitklassig
secure|sicher
secure|sichern
securities|Wertpapieren
see|anzeigen
see|ersehen
see|schauen
see|sehe
see|sehen
see|siehe
see|sieht
See (f)|sea
see you tomorrow|begegnen Morgen
see-|marine
Seebaß (m)|sea bass
Seefahrer (m)|sailor
Seehund (m)|seal
seek|suhen
Seeküste (f)|seaside
Seele (f)|spirit
seezunge|sole
Segel (n)|sail
Segelboot (n)|sailboat
segeln|sail
Segeln|yachting
Segler|yachtsman
sehe|see
sehen|look
sehen|see
Sehenswürdigkeit|landmark
Sehenswürdigkeiten (pl)|sights
Sehenswürdigkeiten (pl)|sightseeing
sehnen|long
sehnen|yearn
Sehnsucht|yearning
Sehnsucht (f)|longing
sehnsüchtig|longing
sehr|a lot
sehr|very
seicht|insipid
seid|are
Seide (f)|silk
Seidenstrümpfen (pl)|stockings
Seil (n)|cable
Seil (n)|rope
sein|be
sein|his
sein|its
seine|his
seine|its
seinem|its
seinen|its
seiner|his
seiner|its
seines|his
seines|its
seit|for
seit|from
seit|since
seitdem|since
seitdem weil insofern|since
Seite (f)|page
Seite (f)|side
Seite an Seite|abreast
Seitenschiff (church); gang|aisle
Seitenschiff (n)|aisle
Seitenstreifen nicht befahrbar|soft shoulder (road)
Seitenummer (...)|page number (...)
Seitenweise (f)|page
Sekt (m)|champagne
Sekunde (f)|second
selber|herself
selber|yourself
selbst|her
selbst|himself
selbst|itself
selbst|self
selbst|yourself
Selbstbedienung|self-service
Selbstbedienungsrestaurant|cafeteria
Selbstlaut (m)|vowel
selbsttätig|automatic
select|ausgesucht
select|aussuchen
select|auswahl
select|auswählen
select|wählen
selected|ausgewählt
selected|auswahl
selected|gewählt
selection|Auslese (f)
selection|Auswahl (f)
selection|Wahl (f)
self|selbst
self-employed|freischaffend
self-service|Selbstbedienung
sell|umsetzen
sell|verkaufen
Sellerie (m)|celery
selten|rare
seltsam|quaintly
seltsam|queer
seltsam|strange
seltsam|weird
seltsamer|weirder
seltsamer Typ|weirdie
seltsamer Typ|weirdo
seltsamkomisch|quizzical
Semmel (f)|roll
send|übersenden
send|schicken
send|schickt
send|senden
send|zusenden
senden|send
senden|ship
senden|transmit
Sendeplan (m)|schedule
sender|Absender (m)
sender|Zeichengeber (m)
sending|schickend
sending|Sendung (f)
Sendung (f)|mission
Sendung (f)|sending
Sendung (f)|shipment
Sendung (f)|transmission
Senf (m)|mustard
senken|sink
senkrecht|vertical
Senkung (f)|dip
sent|gesandt
sent|gesendet
sentence|Satz (m)
sentence|Urteil (n)
sentence|verurteilen
sentence|Verurteilung (f)
serial number|Seriellnummer (f)
serial port|Seriellluke (f)
Seriellluke (f)|serial port
Seriellnummer (f)|serial number
serious|ernst
serious|ernsthaft
serious|grob wichtig
serum|Serum (n)
Serum (n)|serum
service|Bedienung (f)
service|Dienst (m)
service|Gottesdienst (m)
service|Service (n)
Service (n)|service
servicing|dienlich
servicing|servierend
servicing|Wartung (f)
servierend|servicing
servierend|serving
Servierplatte (f)|platter
Serviette (f)|napkin
Serviette (f)|paper napkin
Servietten (f)|napkins
serving|aufschlagend
serving|Portion (f)
serving|servierend
serving|zustellend
serving spoon|Portionslöffel (m)
Sessel (m)|easy chair
session|Sitzung (f)
set|ansetzen
set|einstellen
set|Satz (m)
set|Set (n)
set|Setze (f)
set|setzen
Set (n)|set
set up|aufbauen
set up|Gliederung (f)
set up|herrichten
setting|Einstellung (f)
setting|Justierung (f)
setting|setzend
settle up|abrechnen
Setze (f)|set
Setze (f)|type
setzen|put
setzen|set
setzend|setting
setzte auf|sat up
seven|sieben
seven hundred|siebenhundert
seventeen|siebzehn
seventh|siebent
seventh|siebent-
seventh|siebente
seventh|siebt-
seventy|siebzig
seventy one|einundsiebzig
several|einige
several|etliche
several|mehrere
several|mehrere einzelne
sew|nähe
sew|nähen
sew|vernähen
sewing|Nähe (f)
sewing|vernähend
sex|Geschlecht (n)
sex|Sex (m)
Sex (m)|sex
Sexenschlacht (f)|battle of the sexes
sextet|Sechsbiteinheit (f)
sextet|Sextett (n)
Sextett (n)|sextet
sexual|geschlechtlich
sexual|sexually
sexual|sexuell
sexually|sexual
sexuell|sexual
shade|Farbton (m)
shade|schattieren
shade|Schattierung (f)
shade|schraffieren
shade tree|Schattenbaum (m)
shampoo|haarewaschen
shampoo|Schampoon (n)
shampoo|schampunieren
shampoo|waschen
shape|Form (f)
shape|formen
shape|Gestalt (f)
shape|gestalten
shaped|formte
shave|rasieren
shave|Rasur (f)
shave|sich rasieren
shaving cream|Rasierkrem (f)
she|Sie
sheep|Schaf (n)
sheer|bloß
sheer|lauter
sheer|schier
shelf|Bord (n)
shelf|Einlegeboden (m)
shelf|Regal (n)
shellfire|Granatenbeschuß
shellfish|Muschel
shin|Schienbein (n)
ship|Schiff (n)
ship|schiffen
ship|senden
ship|verladen
ship|versenden
shipment|Ladung (f)
shipment|Sendung (f)
shipment|Verschiffung (f)
shipped|verschiffte
shipping|Versendung (f)
shipping charges|Versendungkosten (pl)
shirt|Hemd (n)
shit|scheiss (m)
shit|scheisse (f)
shock|erschüttern
shock|schlag (m)
shoe|Hufeisen (horseshoe)
shoe|Schuh (m)
shoehorn|schuhanzieher
shoehorn|Schuhlöffel (m)
shoelace|schnürsenkel (m)
shoemaker|schuhmacher
shoemaker|Schuster (m)
shoes|Schuhe (pl)
shoeshine|Schuhglanz (m)
shoot|erschießen
shoot|schießen
shoot|schiessen
shoot|Schößling (m)
shoot|Sprößling (m)
shop|Geschäft (n)
shop|Laden (m)
shop|Werkstatt (f)
shopkeeper|Ladenbesitzer (m)
shopkeeper|Ladeninhaber (m)
shopping|Einkauf (m)
shopping|Einkaufen (n)
shopping|einkaufend
shopping area|Einkaufgebiet (n)
shopping bag|Einkauftasche (f)
shopping center|Einkaufszentrum (n)
short|kurz
should|sollte
shoulder|Achsel (f)
shoulder|Schulter (f)
shoulder|schultern
shoulder|tragen
shove|schieben
shove|Schubs (m)
shove|Stoß (m)
show|ausstellen
show|betätigen
show|Schau (f)
show|vorführen
show|Vorführung (f)
show lace|Schauspitze (f)
show me where|zeigen mir woher
shower bath|Dusche (f)
shower curtain|Duschevorhang (m)
showers|begießt
showers|Duschen (pl)
shrimp|Garnele (f)
Siberia|Sibirien
Sibirien|Siberia
sich|herself
sich|itself
sich|yourself
sich aneignen|usurp
sich aus dem Staub gemacht|absconded
sich aus dem Staub machen|abscond
sich beeilen|hasting
sich bemächtigen|usurp
sich enthalten|abstain
sich enthalten|abstainer
sich entschuldigen|apologize
sich erinnern|remember
sich fragen|wonder
sich niederlassen|establishing
sich rasieren|shave
sich schlagen|fight
sich sehnen|yearn
sich trauen|dare
sich umziehen|change
sich verbergen|abscond
sich verändern|vary
sich windend|waggly
sicher|safe
sicher|safely
sicher|secure
sicherer|safer
Sicherheit (f)|safety
Sicherheitsfaktor (m)|safety
Sicherheitsgurt (m)|seat belt
Sicherheitsguten festmachen|fasten seat belts
Sicherheitskasten (m)|safe deposit box
sichern|ensure
sichern|protect
sichern|save
sichern|secure
sichern retten|save
sicherstellen|ensure
sicherstellen|insure
sicherstellen garantieren|ensure
Sicherungskopie|backup
sick|elend
sick|krank
sick|unwohl überdrüssig
sickern|ooze
sickert|oozes
side|Rand (m)
side|Seite (f)
sideburns|Kotteletten (pl)
sidekick|Beistand (m)
sidewalk|Bürgersteig (m)
Sie|her
Sie|she
Sie|them
Sie|they
Sie|you
sieben|seven
siebenhundert|seven hundred
siebent|seventh
siebent-|seventh
siebente|seventh
siebt-|seventh
siebzehn|seventeen
siebzig|seventy
sieden|boil
siedend|aboil
siedete|boiled
Siegelband (n)|sealing tape
siegeln|seal
siegen|win
Sieger (m)|winner
siehe|see
sieht|see
sieselber|herself
sights|Sehenswürdigkeiten (pl)
sights|Visierungen (pl)
sightseeing|Sehenswürdigkeiten (pl)
sign|Schild (n)
sign|unterschreiben
sign|Zeichen (n)
sign of the zodiac|Tierkreiszeichen (n)
Signatur (n)|signature
signature|Signatur (n)
signature|Unterschrift (f)
Silber (n)|silver
Silber von Standardwert (n)|sterling silver
Silbergeschirr (n)|silver plate
silbern|silver
Silberware (f)|silverware
Silberwaren (pl)|silverware
silk|Seide (f)
silo|Silo (m)
Silo (m)|silo
silver|Silber (n)
silver|silbern
silver|versilbern
silver plate|Silbergeschirr (n)
silverware|Silberware (f)
silverware|Silberwaren (pl)
Silvester (n)|New Year's Eve
Silvesterabend (m)|New Year's Eve
simple|Einfach
simple|einfältig
simple|schlicht
since|da
since|seit
since|seitdem
since|seitdem weil insofern
since|weil
sincerely|aufrichtig
sind|are
sing|singen
singen|chant
singen|sing
singend|singing
singing|singend
single|Einfach
single|einzel
single|einzeln
single|einzelne
single|einzelner
single|einzig
single|ledig
single serving|einzele Portion (f)
singular|insult
sink|Ausguß (m)
sink|senken
sink|sinken
sink|Spühlbecken (n)
sinken|sink
sinkend|downward
sinnreich|daedal
sinnverwandtes Wort (n)|synonym
Sippe (f)|tribe
sir|Herr (m)
sir|mein Herr
sister|Schwester (pl)
sisterhood|Schwesternschaft (f)
Sitten (pl)|customs
sitting|sitzend
sitting|Sitzung (f)
situation|Lage (f)
situation|Situation (f)
Situation (f)|situation
Sitz (m)|seat
Sitzanweisung (f)|seat assignment
Sitze im freien|open seating
Sitze nicht reserviert|non-reserved seating
sitzen|fit
sitzend|sitting
Sitzplatz (m)|seat
Sitzung (f)|session
Sitzung (f)|sitting
six|sechs
six hundred|sechshundert
sixteen|sechszehn
sixteen|sechzehn
sixth|sechst-
sixth|sechste
sixty|sechszig
sixty|sechzig
sixty one|einundsechzig
Skandinavier (m)|Scandinavian
skandinavisch|Scandinavian
ski|Schi (m)
ski|schilaufen
ski bindings|Skibindungen (pl)
ski laufend|skiing
ski poles|Skipfosten (pl)
Skibindungen (pl)|ski bindings
skiing|ski laufend
Skipfosten (pl)|ski poles
skirt|herumgehen
skirt|Rock (m)
Skorpion (m)|Scorpio
skrilegisch|sacrilegious
Skulptur (f)|sculpture
sky|Himmel (m)
slack|lose
slang|Jargon (m)
slang|Slang (m)
slang|Umgangssprache (f)
Slang (m)|slang
sled|Schlitten (m)
sleep|Schlaf (m)
sleep|schlafen
sleeping|schlafend
sleepy|müde
sleepy|schläfrig
slid|glitt
slid|glitt ab
slide|Dia (n)
slide|gleiten
slide|rutschen
slide film|Diapositiv (n)
slides|gleitet
slides|schiebt
slippery surface|Straßenglätte
slow|langsam
slow|träge
slower|langsamer
slowest|langsamste
sludge|Schlamm
slum|Elendsviertel (n)
slum|Slum (m)
Slum (m)|slum
small|geringere
small|klein
smaller|kleiner
Smaragd (m)|emerald
smoked|geräuchert
smoking|Rauchen (n)
smoking car|Rauchenwagen (m)
smoking section|Rauchenteil (m)
snack|Imbiß (m)
snack|Imbuß (m)
snack|Stärkung (f)
snack bar|Imbißstube (f)
snack bar|Imbusstube (f)
snacks|Schnellimbisse (pl)
snake|Schlange (f)
sneakers|Turnschuhe (pl)
snob|Snob (m)
Snob (m)|snob
snore|schnarchen
snow|Schnee (m)
snow|schneien
snowshoes|Schneeschuhe (pl)
sntspannt|unbent
so|also
so lang wie|as long as
so ungefähr|thereabouts
sobald|as soon as
sobald|soon
sobald|when
soccer|Fußball (m)
socialist|Sozialist (m)
Socken (pl)|socks
socks|Prügel (pl)
socks|schlagt
socks|Socken (pl)
soda|Soda (f)
Soda (f)|soda
soda water|Sodawasser (n)
Sodawasser (n)|soda water
sofa|Sofa (n)
Sofa (n)|couch
Sofa (n)|sofa
soft|leise
soft|sacht
soft|weich
soft|weichlich
soft drink|alkoholfreie Getränk (n)
soft shoulder (road)|Seitenstreifen nicht befahrbar
software|Software (f)
Software (f)|software
sogar|yet
sohle|sole
Sohn (m)|son
sold out|ausverkauft
sole|alleinig
sole|besohlen
sole|einzig
sole|seezunge
sole|sohle
sollte|should
some|einige
some|einige manche
some|manche
some coins|manchen Münzen (pl)
some more|mehr
somehow|irgendwie
something|etwas
something|irgendetwas
sometimes|manchmal
somewhere|irgendwo
somewhere|irgendwohin
Sommer (m)|summer
Sommersachen (f)|clothes
son|Sohn (m)
sonder|special
sonder|without
Sonderangebot (n)|bargain
sonderbar|queer
sonderbar|unaccountable
sonderlich|peculiar
Sonnabend (m)|Saturday
Sonne (f)|sun
Sonnenaufgang (m)|sunrise
Sonnenbrand (m)|sunburn
Sonnenbrille (f)|sunglasses
Sonnenschirm (m)|sun umbrella
Sonnenuntergang (m)|sunset
sonnig|sunny
Sonntag (m)|Sunday
sonstig|other
soon|bald
soon|bald sowie rasch
soon|demnächst
soon|gleich
soon|nächstens
soon|sobald
sooner|eher
