862
Fabel|fable
Fratze (f)|face
Frau (f)|female
Frau (f)|Mrs.
Frau (f)|Ms.
Frau (f)|wife
Frau (f)|woman
Frauen (pl)|women
Frauenkleidungen (pl)|women's clothes
Frechheit (f)|cheek
freeway|Autobahn (f)
freeze|frost
frei|not occupied
frei|unblocked
frei|vacant
Freiasse|yeoman
freifühlen|feel free
freigesprochen|absolved
freimachen|unblock
freischaffend|self-employed
freisinnig|liberal
Freitag|friday
French|französisch
French Franc|französische Franc
french fried|französische gebraten
french fries|Pommes frites (pl)
fresh|dreist
fresh|frisch
fresh|naseweis
fresh|neugebacken
fresh|vorlaut
freshly|frisch
Freudenfeuer (m)|bonfire
Freund (m)|boyfriend
Freund (m)|friend
Freundin (f)|friend
Freundin (f)|girlfriend
freundlich|friendly
frevelhaft|sacrilegious
frevlerisch|sacrilegious
friday|Freitag
fried|gebraten
fried potatoes|Bratkartoffeln (pl)
Friedensstifter|pacifier
friend|Bekannter (m)
friend|Freund (m)
friend|Freundin (f)
friendly|freundlich
friendly|gütig
friendly|gütlich
frisch|fresh
frisch|freshly
Friseur (m)|barber
Friseur (m)|hairdresser
Friseure (pl)|hairdressers
Friseurladen (m)|barbershop
Friseuse (f)|hairdresser
Frisur|haircut
Frisur|hairdo
Frisur (f)|hairstyle
Frisuren|haircuts
Frisuren|hairdos
froh|glad
from|aus
from|nach
from|seit
from|vom
from|von
from (+ dative); also adv: off|ab
from the|vom
from the axis|abaxial
fromm|religious
front|Front (f)
front|vorder-
front|Vorderseite (f)
Front (f)|front
front end|Vorderseite (f)
frost|freeze
frost|Frost (m)
Frost (m)|frost
frosted|bereift
Frucht (f)|fruit
frugal|genügsam
fruh|early
fruit|Frucht (f)
fruit|Obst (n)
fruit cup|Bowle (f)
fruit juice|Obstsaft (m)
Fräsmaschine (f)|mill
Fräulein|mademoiselle
fräulein|miss
Fräuleins|mademoiselles
früh|early
früher|earlier
frühest|earliest
frühest|first
Frühjahr (n)|spring
Frühkindheit|babyhood
Frühling (m)|spring
Frühstück (n)|breakfast
frühzeitig|early
Früstück (n)|breakfast
Fuge (f)|joint
fuhr ab|departed
Fuhrmann|wagoner
full|völlig
full|voll
function|Aufgabe (f)
function|Funktion (f)
function|funktionieren
Fundbüro (n)|lost property
fundieren|base
funken|radio
Funktion (f)|function
funktionieren|function
funktionierend|going
Furche (f)|line
Furcht|fear
furchtbar|fearful
furchtbar|fearfully
furchtbar|terrible
furchtlos|fearless
furchtlos|fearlessly
Furchtlosigkeit|fearlessness
Furnier (n)|veneer
furniture|Möbel  (pl)
furrier|Kürschner  (m)
furs|Pelze  (pl)
further|mehr
further|weiter
further|weiter ferner
furthermore|ausserdem
furthermore|überdies
furthermore|ferner
Furz (n)|fart
Fussknöchel (m)|ankle
Fusstritt (m)|kick
Futter (n)|food
Fuß (m)|foot
Fußball|football
Fußball (m)|soccer
Fußboden (m)|floor
Fußdecke (f)|carpet
Fächer (m)|fan
fähig|able
fähig|able
fähiger|abler
Fähigkeit (f)|ability
Fähigkeit (f)|capability
Fähigkeiten|abilities
fähigst|ablest
Fähre (f)|ferry boat
Fährt ein Zug durch nach (...)|is there a through train to (...)
fällen|fell
fällig|due
färben|color
Föderalismus|federalism
fördern|demand
fügen|join
fügte an|attached
fühlen|feel
Fühler (m)|antenna
führen|carry
führen|direct
führen|steer
Führtefahrt (f)|guided tour
Führung (f)|guide
Fülle|abundance
füllen|fill
fünf|five
fünft-|fifth
fünfte|fifth
fünfter|fifth
fünfzehn|fifteen
fünfzig|fifty
für|for
für immer|forever
füttern|feed
füttert|feeds
Füße (pl)|feet
Füßgänger (pl)|pedestrians
