684
rabauke|tough
Rauheit|abrasiveness
Raum (m)|room
Raum (m)|space
raw|roh
rayon|Kunstseide (f)
Razemat|racemate
razemisch|racemic
razor|Rasierer (m)
razor|Rasiermesser (m)
razor blade|Rasierklinge (f)
reach|reichen
ready|bereit
ready|fertig
ready|willig
Reaktion (f)|response
real|echt
real|tatsächlich
real|wahr
real|wirklich
really|tatsächlich wirklich
really|wirklich
rear|bäumen
rear|hintere
rear|Rückseite (f)
rear|Schuß (m)
Rebe (f)|vine
rebellion|Aufstand (m)
rebellion|Rebellion (f)
Rebellion (f)|rebellion
Rebhuhn (n)|partridge
Rebstock (m)|vine
receive|bekommen
receive|empfangen
receive|erhalten
receive|erhalten anerkennen
received|übertrage
received|empfing
received|erhielten bekamen
reception|Aufnahme (f)
reception|Empfang (m)
Rechner|calculator
Rechnung (f)|account
Rechnung (f)|bill
Rechnung (f)|invoice
Rechnung stellen|invoice in
Rechnungsmaschine (f)|adding machine
Rechnungsmaschinepapier (n)|adding machine paper
Recht (n)|law
Rechtamt (n)|law office
rechts|to the right
Rechtsanwalt (m)|lawyer
Rechtspfleger|bailiff
Rechtspfleger|bailiffs
rechtzeitig|on-time
rechtzeitig|timely
recline|hinlegen
recline|legen
recline|zurücklehnen
reclining chair|Liegestuhl (m)
record|aufnehmen
record|aufzeichnen
record|eintragen
record store|Plattengeschäft (n)
recorder|Aufzeichnungsgerät (n)
recorder|Blockflöte (f)
recorder|Registrator (m)
records|Aufzeichnungen (pl)
records|Sätze (pl)
rectum|butt
red|rot
Redakteur (m)|editor
Rede (f)|speech
reden|talk about
redete auf|talked to
Redewendung (f)|phrase
redigieren|edit
refreshment bar|Erfrischungen (pl)
refreshment bar|Imbusstube (f)
refrigerator|Eisschrank (m)
refrigerator|Kühlschrank (m)
Regal (n)|shelf
regelmässige|regularly
regelmäßig|regular
regelrecht|regular
Regen (m)|rain
Regenmantel|macintosh
Regenmantel|mack
Regenmantel|mackintosh
Regenmantel (m)|raincoat
Regenschauer (m)|rain shower
Regenschirm (m)|umbrella
Regenschirme|umbrellas
Regenwurm  (m)|earthworm
Regenzeit (f)|rainy season
Regierung (f)|government
region|Bereich
region|Gebiet (n)
region|Gegend
region|Landstrich
regional|lokal
regional dialect|Dialekt (m)
Register|calendar
register|einschreiben
register|Register (n)
register|Verzeichnis (n)
Register (n)|register
registered|eingetragen
registered|registriert
registered letter|Einschreibebrief (m)
registieren|check in
registierte Gepäck (n)|checked luggage
Registrator (m)|recorder
registriert|registered
regnen|rain
regnerisch|rainy
regressive|rückläufig
regsam|quick
regular|gewöhnlich
regular|gleichmäßig
regular|ordentlich
regular|regelmäßig
regular|regelrecht
regularly|regelmässige
regulieren|adjust
Rehfleisch (n)|venison
reiben|rub
Reibungalkohol (m)|rubbing alcohol
reich|rich
reich|wealthy
Reich (n)|kingdom
reichen|hand
reichen|reach
reicher|wealthier
reichgestaltet|daedal
reichlich|abundant
reichste|wealthiest
Reichtum|wealth
reif|ripe
reigen|round
Reihe (f)|run
Reihe (f)|suite
rein|straight
Reis (m)|rice
Reise (f)|travel
Reiseandenken (n)|souvenir
Reiseautobus (m)|tour bus
Reisebericht (m)|travelogue
Reisebus (m)|coach
Reiseführer (m)|guide book
Reiseführer (m)|tourist guide
Reisehandbuch (n)|tour guide
reisen|go
reisen|travel
Reisende (m)|traveler
Reisendescheck (m)|traveler's check
Reisendeschecke (pl)|traveler's checks
Reisepaß (m)|passport
Reiseroute (f)|itinerary
Reisetagebuch (n)|itinerary
Reissverschluss|zipper
Reissverschlüsse|zippers
Reiten|ride
Reiten|riding
Reize (pl)|attractions
reißen|yank
Reißverschluß (m)|zipper
relations|Beziehungen (pl)
relations|Verkehre (f)
religion|Religion (f)
Religion (f)|religion
religious|fromm
religious|religiös
religiös|religious
remember|besinnen
remember|erinnern
remember|gedenken
remember|sich erinnern
renaissance|Renaissance (f)
Renaissance (f)|renaissance
renew|erneuern
renew|verlängern
Rennbahn|racecourse
Rennbahn|racetrack
Rennen|racing
rennen|run
Rennpferd|racehorse
Rennpferde|racehorses
Rennstrecke|raceway
rent|Miete (f)
rent|mieten
rent|Pacht (f)
rent|vermieten
rental|Mietbetrag (m)
rental|Miete (f)
Rente (f)|house
reparieren|mend
replacement|ersatz
represent|darstellen
represent|darstellen verkoerpern
represent|vertreten
representative|abgeordnete
representative|abgeordneter
representative|darstellend
representative|Vertreter (m)
Reproduktion (f)|facsimile
require|benötige
require|benötigen
require|brauchen
require|erfordern
require|fordern
require|verlangen
resent|übelnehmen
resent|nachtragen
resent|verübeln
reservation|Reservation (f)
reservation|Reservierung (f)
reservation|Voranmeldung (f)
Reservation (f)|reservation
reservations|Platzkarten (pl)
Reserve (f)|standby
reserved|belegt
reserved|reserviert
reserved|spröde
reserved|verschlossen
reserviert|reserved
Reservierung (f)|reservation
resolut|determined
response|Antwort (f)
response|Reaktion (f)
rest|ausruhen
rest|beruhen
rest|Rast (f)
rest|rasten
rest|Ruhe (f)
rest|ruhen
restaurant|Restaurant (n)
Restaurant (n)|restaurant
restful|ausruhsam
restful|ruhig
restricted parking|Blau Zone
retail|einzelhandel
retire|ausscheiden
retire|pensionieren
retired|pensioniert
retired|zog zurück
retten|save
return|Ertrag (m)
return|erwidern
return|Erwiderung (f)
return|Rückgabe (f)
return address|Zurückadresse (f)
reverse|Gegenteil (m)
reverse|Rückseite (f)
reverse|umkehren
revidieren|revise
revise|abändern
revise|überprüfen
revise|nachprüfen
revise|revidieren
revise|umarbeiten
revision|Abänderung (f)
revolt|auflehnen
revolt|Aufstand (m)
revolt|entsetzen
revolt|Revolte (f)
revolt|revoltieren
Revolte (f)|revolt
revoltieren|revolt
revolution|Drehung (f)
revolution|Revolution (f)
revolution|Umdrehung (f)
revolution|Umsturz (m)
Revolution (f)|revolution
revolutionary|revolutionär
revolutionär|revolutionary
Rhythmus|cadence
rib|Rippe (f)
rice|Reis (m)
rich|reich
Richter (m)|judge
richtig|true
richtig schreiben|spell
richtig stellen|adjust
Richtigstellung (f)|adjustment
richtungs|directional
ride|fahren
ride|Fahrt (f)
ride|Reiten
ride|Ritt (m)
riding|herumreitend
riding|Reiten
rieb|grated
riesig|huge
rifle|Büchse (f)
rifle|Gewehr (n)
rim|Rand (m)
Rind (n)|beef
Rind (n)|cattle
Rind (n)|cow
Rindfleisch (n)|beef
Rindvieh (n)|cattle
ring|Ring (m)
ring|Schall (m)
ring|schellen
ring|tönen
Ring (m)|ring
ringen|wrestle
ringtail|Katta
Rinnstein (m)|curb
rinse|Spülung
rinsed|gespült
riot|Aufruhr (m)
riot|randalieren
riot|Zusammenrottung (f)
ripe|reif
Rippe (f)|rib
ripple|Kräuselung (f)
ripple|Welligkeit (f)
rise|anlaufen
rise|ansteigen
rise|Anstieg (f)
rise|Aufgang (m)
rise|Erhöhung (f)
rise|steigen
rise up|emporragen
Risiko (n)|gamble
Risiko (n)|hazard
Risiko (n)|risk
risk|Risiko (n)
risk|riskieren
riskant|hazardous
riskieren|gamble
riskieren|risk
Rist (m)|instep
rite|Ritus (m)
Ritt (m)|ride
Ritter|knight
ritual|Ritual (n)
ritual|rituell
Ritual (n)|ritual
rituell|ritual
Ritus (m)|rite
river|Fluß (m)
river|Strom (m)
road|Straße (f)
roadwork ahead|Straßenbau
roast|gebraten
rob Peter to pay Paul|rauben Pieter Paulus zu zahlen
robe|Robe (f)
Robe (f)|robe
rock|Fels (m)
rock|Felsen (m)
rock|schaukeln
rock|Stein (m)
rock|wiegen
Rock (m)|skirt
rocket|hochschießen
rocket|Rakete (f)
Rockmusik (f)|music
rocky|felsig
Roehre|tube
Roggen (m)|rye
roh|raw
Rohrstutzen (m)|nipple
Rohrzucker|saccharose
roll|Brötchen (n)
roll|Rolle (f)
roll|rollen
roll|schlingern
roll|Semmel (f)
roll of film|Filmrolle (f)
Rolle (f)|roll
rolled|rollte
rollen|roll
Rollkugelgerät (n)|mouse
Rollstuhl (m)|wheelchair
rollte|rolled
Roman (m)|novel
room|Kammer (m)
room|Raum (m)
room|Stube (f)
room|Zimmer (n)
room key|Zimmerschlüssel (m)
room number|Zimmernummer (f)
room service|Zimmerbedienung (f)
room service|Zimmerdienst (m)
rooster|Hahn (m)
rope|abseilen
rope|Seil (n)
rope|Strang (m)
rope|Strick (m)
rosa|pink
rose|Rose (f)
Rose (f)|rose
Rosenholz (n)|rosewood
rosewood|Rosenholz (n)
Rosine (pl)|raisins
Rostfreistahl (m)|stainless steel
rot|red
rouge|Rouge (n)
rouge|schminken
Rouge (n)|rouge
round|kreisförmig
round|reigen
round|rund
round|Runde (f)
round-trip|Zurückreise (f)
round-trip ticket|Zurückfahrkarte (f)
rounded|abgerundet
rounded|gerundet
Roß (n)|horse
rub|anreiben
rub|reiben
rubbing alcohol|Reibungalkohol (m)
Rubin (m)|ruby
ruby|Rubin (m)
ruchlos|infamous
Ruck (m)|hitch
Ruck (m)|jerk
Rucksack|backpack
Rucksackreisender|backpacker
Rucksacktourist|backpacker
Rucksäcke|backpacks
Ruckweise (f)|jerk
Ruder|oar
Ruder|oars
Ruderer|oarsman
rueckenfrei|backless
Rueckenlage|backstroke
Rueckenlehne|backrest
Rueckhalt|backstop
Rueckhand|backhand
Rueckhand|backswing
Rueckseite|backside
Ruecksitz|backseat
Rueckstich|backstitch
Rueckstiche|backstitches
rueckwaerts|backwards
rueckwaertsgehen|backpedal
rueckwaertslaufen|backpedal
Ruf (m)|call
rufen|call
rug|Brücke (f)
Ruhe (f)|rest
ruhen|rest
ruhig|quiet
ruhig|restful
ruler|Herrscher (m)
ruler|Lineal (n)
rum|Rum (m)
Rum (m)|rum
rumor|Gerücht (n)
rumor|munkeln
Rumpf (m)|trunk
run|Lauf (m)
run|laufen
run|Reihe (f)
run|rennen
run|Spielzeit (f)
rund|round
Runde (f)|round
Rundfunk (m)|radio
Runkelrüben (pl)|beets
Russe (m)|Russian
Russia|Rußland
Russian|Russe (m)
Russian|russisch
russisch|Russian
rutschen|slide
Rußland|Russia
rye|Roggen (m)
röntgen|x-ray
Röntgenaufnahme (f)|x-ray
rösten|toast
Rösti (pl)|hash browns (potatoes)
Rübe (f)|beet
Rübe (f)|carrot
Rücken|back
Rücken|backs
rücken|hitch
rücken|move
Rücken (m)|back
Rückenschmerzen|backache
Rückenschmerzen (pl)|backaches
Rückgabe (f)|return
Rückgrat|backbone
Rückgrat (n)|spine
Rückgrate|backbones
rückläufig|regressive
Rückprall|backlash
Rückschlag|backdrop
Rückschlag (m)|upset
Rückschluß (m)|conclusion
Rückschläge|backdrops
Rückseite (f)|rear
Rückseite (f)|reverse
rückwärts|aback
rührend|pathetic
Rüssel (m)|trunk
rüsten|arm
rütteln|jog
