646
Nabel|umbilicus
neunzig|ninety
neutr.|dashboard
neutr.|dashboards
neuzeitlich|modern
never|nie
never|niemals
never|nimmer
new|neu
new|neue
new|neuen
new|neuer
new|neues
New Year's Day|Neujahrstag (m)
New Year's Eve|Silvester (n)
New Year's Eve|Silvesterabend (m)
newer|neuer
newest|neuest
newest|neueste
news|Nachrichten (pl)
news|Neuen (pl)
news|Neuigkeit (f)
news magazines|Nachrichten (pl)
newspapers|Zeitungen (pl)
newsstand|Zeitungshändler (m)
next|folgend
next|nächst
next|nächst-
next|nächste
next|nächsten
next|Nächster (m)
next|nächstes
next to|neben
next week|folgende Woche (f)
next year|folgende Jahr (n)
nice|fein
nice|nett
nice|schön
nice person|nette person (f)
Nicholas|Nikolaus
nicht|no
nicht|not
nicht abgekürzt|unabbreviated
nicht anerkannt|unacknowledged
nicht anpassungsfähig|unadaptable
nicht ansprechend|unappealing
nicht anwesend|unattended
nicht atembar|unbreathable
nicht ausgerichtet|unaligned
nicht Authentisch|unauthentic
nicht begraben|unburied
nicht bewusst|unaware
nicht diskutierbar|unarguable
nicht geblendet|unblinded
nicht gefesselt|unbrace
nicht haben|haven't
nicht kaputt|unbroken
nicht pleite|unbroke
nicht unterstuetzt|unassisted
nicht unterstützt|unbacked
nicht vorhanden|unavailable
nicht zertifiziert|uncertified
nicht zugewiesen|unassigned
nicht zusammengebaut|unassembled
nicht zusammengehalten|unbelted
nicht zustimmen|disagree
nicht zwinkern|unblinking
nicht überholen|passing prohibited
nicht-biblisch|unbiblical
Nichtanerkennung|unacknowledgment
Nichtanerkennungen|unacknowledgments
nichtbiologisch|abiologically
Nichte (f)|niece
Nichtrauchenteil (m)|non-smoking section
Nichtraucher|no smoking
nichts|non
Nichts|zero
Nichts (n)|naught
nichtuebereinstimmen|disagree
nicken|nod
Nickerchen (n)|nap
nie|never
niece|Nichte (f)
niedere Stabe (f)|lower case
Niederlage (f)|branch office
niederschlagen|fell
niederträchtig|infamous
niederträchtige Charakter (m)|infamous character
niedlich|cute
niedlich|pretty
niedlich|quaintly
Niednagel (m)|hangnail
niedrig|menial
niedriger|lower
niedrigere|lower
niedrigerer|lower
niemals|never
niemand|nobody
Niere|kidney
Niet (f)|blank
night|Nacht (f)
night coach|Nachtreisebus (m)
night flight|Nachtflucht (f)
nights|Nächte (pl)
Nikolaus|Nicholas
Nilpferd|hippo
nimmer|never
nine|neun
nineteen|neunzehn
nineteen hundred ninety five|tausendneunhundertfünfundneunzig
ninety|neunzig
ninety one|einundneunzig
ninth|neunt-
ninth|neunte
ninth|neunter
Nipon|Japan
niponische Yen|Japanese Yen
nipple|Brustwarze (f)
nipple|Piston (n)
nipple|Rohrstutzen (m)
nipple|Sauger (m)
nirgends|nowhere
no|kein
no|keine
no|nein
no|nicht
no admission|Zutritt verboten
no parking|parkverbot
no smoking|Nichtraucher
nobility|Adel
noble|edel
nobleman|Edelmann
noblemen|Edelleute
nobler|edler
noblest|edelste
nobody|keiner
nobody|niemand
noch|still
noch|yet
noch einmal|again
noctambulation|Schlafwandeln
noctambulism|Schlafwandeln
noctambulist|Schlafwandler
nocturn|nächtlich
nocturnal|nächtlich
nocturnally|nächtlicherweise
nod|nicken
node|Knoten
nodes|Knoten
noisy|laut
noisy|lärmig
non|nichts
non-reserved seating|Sitze nicht reserviert
non-smoking section|Nichtrauchenteil (m)
none|kein
none|keine
none|keiner
none|keines
Nonne (f)|nun
noodles|Nudeln (pl)
noon|Mittag (m)
Noppe (f)|nap
nor|auchnicht
nord|north
Norden (m)|north
nordosten|northeast
Nordstaatler (m)|yankee
nordwesten|northwest
north|nord
north|Norden (m)
northeast|nordosten
northwest|nordwesten
nose|Nase (f)
nose|Vorderteil (m)
nose drops|Nasetropfen (pl)
nostril|Nasenloch (n)
nostril|Nüster (f)
nosy|neugierig
not|nicht
Not (f)|emergency
Not (f)|need
not occupied|frei
not occupied|unbesetzt
notable|werklich
notable|werkmüdig
Notausgang (m)|emergency exit
Notausgang (m)|exit
notdürftig|bare
note|anmerken
note|Anmerkung (f)
note|Geldschein (m)
note|Note (f)
note|notieren
Note (f)|note
notebook|Heft (n)
notebook|Notizbuch (n)
notebook|Schreibheft (n)
notebook computer|Screibheftdatenverarbeitungsanlage (f)
Notfall (m)|emergency
nothing to declare|Zollfreie Waren
notieren|jot down
notieren|note
Notizbuch (n)|diary
Notizbuch (n)|notebook
notleidend|needy
notorious|ber"uchtigt
notwendig|necessary
notwendig|needed
notwendigerweise|necessarily
Notwendigkeit|necessity
Notzimmer (m)|emergency room
noun|Hauptwort (n)
noun|Substantiv (n)
novel|neu
novel|neuartig
novel|Roman (m)
November|November (m)
November (m)|November
now|jetzt
now|nun
now|nun jetzt
nowhere|nirgends
nuance|Feinheit (f)
nuclear|nuklear
nude|akt
nude|nackt
nude|Nackte (m)
Nudeln (pl)|noodles
nuklear|nuclear
Null|zero
Null (f)|zero
Nullen|zeroes
Nullen|zeros
Nullpunkt (m)|zero
Nullte|zeroth
number|abberufen
number|Ausgabe (f)
number|Nummer (f)
number|twelve
number|Zahl (f)
numbers|one-nineteen
numeral|Zahlwort (n)
numeral|Ziffer (f)
numerisch|digital
Nummer (f)|number
nun|now
nun|Nonne (f)
nun jetzt|now
nur|only
nur bloss erst|only
nurse|Kindermädchen (n)
nurse|Krankenschwester (f)
nurse|pflegen
nurse|Schwester (f)
nut|Mortise (f)
nut|Nuß (f)
nut|Schraubenmutter (f)
Nuten (m)|flute
nuts|Nüsse (f)
nuts|Schraubenmütter (f)
Nutzbarkeit (f)|utility
nutzen|utility
Nuß (f)|nut
nylon|Nylon (n)
Nylon (n)|nylon
nächst|next
nächst-|nearest
nächst-|next
nächste|nearest
nächste|next
nächsten|next
Nächstenliebe (f)|charity 
nächstens|soon
Nächster (m)|next
nächstes|next
nächstliegend|nearest
Nächte (pl)|nights
nächtlich|nocturn
nächtlich|nocturnal
nächtlicherweise|nocturnally
Nägel|nails
Nähe|nearness
nähe|sew
Nähe (f)|sewing
Nähe (f)|stitch
nähen|sew
nämlich|namely
närrisch|zanily
nördlich|arctic
nörgeln|crab
nötig|need
Nüsse (f)|nuts
Nüster (f)|nostril
nützlich|useful
Nützlichkeit (f)|utility
