944
ma|Mutti
main|hauptsächlich
main highway|Hochstraße (f)
main square|Hauptplatz (m)
mainly|hauptsächlich
mainsail|Hauptsegel
mainstream|die Hauptrichtung
maintain|wahren, erhalten, unterhalten
maintainable|wartbar
maintained|gewartet
maintaining|ein Gerät warten
maintenance|Instandhaltung
maintenances|Wartungen
Mais (m)|corn
Maischips|nachos
Maismehl (n)|cornmeal
majestic|majestätisch
majestical|majestätisch
majestically|majestätisch
majesties|Majestäten
majesty|Hoheit
Majestäten|majesties
majestätisch|majestic
majestätisch|majestical
majestätisch|majestically
Majore|majors
majority|Mehrheit
majors|Majore
majuscular|Gros.buchstaben-
majuscule|Gros.buchstabe
makaber|macabrely
make|anfertigen
make|bilden
make|bilden herstellen
make|machen
Make-up|makeup
maker|Macher
makeshift|der Notbehelf
makeup|Make-up
Makrele (f)|mackerel
Makro|macro
makrobiotisch|macrobiotic
makromolekular|macromolecular
Makrone|macaroon
Makrophage|macrophage
makroskopisch|macroscopic
Makroökonomie|macroeconomics
makroökonomisch|macroeconomic
mal|Fehl-
male|insurer
male|Mann (m)
male|Männchen (n)
male|männlich
malen|paint
malend|painting
Malerei (f)|painting
malte|painted
man|bemannen
man|Mann
man|Mann (m)
man|whitey
man|one
man|they
man|you
manacle|hund
management|Behandlung (f)
management|Besorgung (f)
management|Betrieb (m)
management|Leitung (f)
manager|Direktor (m)
manager|Geschäftsführer (m)
manager|Manager (m)
Manager (m)|manager
manageress|Geschäftsführerin (f)
manche|many
manche|some
manchen Münzen (pl)|some coins
mancher|many
manches|many
manchmal|sometimes
Mandel|almond
Mandeln|almonds
mangelhaft|poor
mangeln|lack
mangelt|lacks
manicure|Maniküre (f)
manicure|maniküren
Maniküre (f)|manicure
maniküren|manicure
Mann|man
Mann (m)|husband
Mann (m)|male
Mann (m)|man
manschaft|league
Mansion (f)|villa
Mantel|coat
Mantel (m)|overcoat
manual|Handbuch (n)
manual|manuell
manual transmission|Manuellgetriebe (f)
manuell|manual
Manuellgetriebe (f)|manual transmission
many|manche
many|mancher
many|manches
many|viel
many|viele
many|vielen
many|vielerlei
map|Abbildung (f)
map|Himmelskarte (f)
map|Karte (f)
map|Landkarte (f)
map of the area|Gebietkarte (f)
map of the city|Stadtkarte (f)
maple|Ahorn (m)
Mappe (f)|briefcase
march|Marsch
march|marschieren
march|März
margarine|Margarine (f)
margarine|Oleomargarine (f)
Margarine (f)|margarine
Marie|Mary
Marienkafer|ladybug
marinated|mariniert
marine|see-
Marine (f)|navy
marineblau|navy blue
mariniert|marinated
Marke (f)|label
market|Markt (m)
market|Vertrieb (m)
marketing|absatzwesen
marketing|Vermarktung (f)
marketplace|Marktplatz
marketplaces|Marktplätze
markets|Märkte
Markierung (f)|token
marksman|Schütze
marksmanship|Schützenverein
Markt (m)|market
Markt (m)|trade
Marktplatz|marketplace
Marktplätze|marketplaces
markup|Aufschlag
marmalade|Marmelade
marmalades|Marmeladen
Marmelade|marmalade
Marmelade (f)|jam
Marmeladen|marmalades
marriage|Ehe (f)
marriage|Heirat (f)
marriage|Hochzeit (f)
marriage|Hochzeit
married|heiratete
married|verheiratet
marrow|Kürbis (m)
Marsch|march
marschieren|march
martini|Martini (n)
Martini (n)|martini
Mary|Marie
masc.|backpack
masc.|backpacker
masc.|backpacker
masc.|backseat
masc.|bagpipe
masc.|bagpiper
masc.|bait
masc.|baker
masc.|ballast
masc.|ballcarrier
masc.|balloon
masc.|ballroom
masc.|dad
masc.|dad
masc.|daddy
masc.|daemon
masc. |ballooner
masc. |dancer
mascara|Wimperntusche (f)
Masche (f)|stitch
Maschine (f)|engine
maschinell|automatic
Maschinen|machines
Maschinenausrüstung (f)|hardware
Maschinennäherin|machinist
maschinenähnlich|machinelike
Maschinerie|machinery
Maschinerien|machineries
Maschinist|machinist
masculine|Maskulinum (n)
masculine|männlich
mashed potatoes|Kartoffelnpüree (n)
mask|Maske (f)
mask|maskieren
Maske (f)|mask
maskieren|mask
Maskulinum (n)|masculine
massage|Massage (f)
massage|massieren
Massage (f)|massage
massieren|knead
massieren|massage
master|beherrschen
master|Gebieter (m)
master|Haupt (m)
master|Master (m)
master|Meister (m)
Master (m)|master
Mastercard|Meisterkarte (f)
masters degree|Magistergrad (m)
matches|passendes
matches|Streichhölzer (pl)
matches|zündhölzer
mathematics|Mathematik (f)
Mathematik (f)|mathematics
Matinee|Vorstellung morgen
Matritze (f)|matrix
Matritze (f)|stencil
matrix|Matritze (f)
Matrose (m)|sailor
Mauer (f)|wall
Mauerblümchen|wallflower
Maul (n)|mouth
Maulkorb (m)|muzzle
Maus (f)|mouse
maximal|maximum
maximum|Höchstwert (m)
maximum|maximal
maximum|Maximum (n)
Maximum (n)|maximum
may|darf
may|dürfen
may|kann
may|mag
May|Mai
may|mögen
maybe|vielleicht
Maßstab|yardstick
me|mich
me|mir
me|ich
meals|Mahlzeiten (pl)
meals|Mähler (pl)
meat|Fleisch (n)
meckern|beef
medication|medizinische Behandlung (f)
medicine|Medizin (f)
Medikament (n)|drug
meditate|meditieren
meditate|nachdenken
meditation|Meditation (f)
Meditation (f)|meditation
Mediterranean Sea|Mittelmeer (n)
meditieren|meditate
medium|Datenträger (m)
medium|durchschnittich
medium|Mitte (f)
medium|Mittel (n)
Medizin (f)|medicine
medizinische Behandlung (f)|medication
Meer (n)|ocean
Meer (n)|sea
Meerblick (m)|ocean view
meeting|Begegnung (f)
meeting|Besprechung (f)
meeting|Tagung (f)
meeting|Versammlung (f)
meeting room|Treffpunkt (m)
Mehl (n)|flour
mehr|further
mehr|more
mehr|some more
mehr weitere|more
mehrere|several
mehrere|umpteen
mehrere einzelne|several
Mehrheit|majority
Mehrzahl (f)|plural
Meile (f)|mile
Meilenstein|milestone
Meilensteine|milestones
mein|mine
mein|my
mein Herr|sir
meine|my
meiner|mine
meines|mine
Meinung|opinion
meisseln|sculpture
Meister (m)|master
Meisterkarte (f)|Mastercard
melken|milk
melon|Melone (f)
Melone (f)|melon
memory|Andenken (n)
memory|Erinnerung (f)
memory|Gedächtnis (n)
memory|Speicher (m)
men|hier
men|Männer (pl)
men and women|Volk (n)
mend|ausbessern
mend|reparieren
menial|niedrig
Mensch (m)|person
menu|Bildschirmanzeige (f)
menu|Speisekarte (f)
merkwürdig|peculiar
merkwürdig|queer
merkwürdiger|weirder
mess|Durcheinander (n)
mess|Schlamassel (m)
message|Nachricht (f)
Messe (f)|fair
messen|compete
messen|meter
Messer (n)|knife
Messuhr (f)|meter
messy|unordentlich
Metallwaren (f)|hardware
meter|messen
meter|Messuhr (f)
meter|Meter (n)
meter|Zähler (m)
Meter (n)|meter
metric|metrisch
metrisch|metric
Mexican|Mexikaner (m)
Mexican|mexikanisch
Mexican Peso|mexikanische Peso
Mexico|Mexiko
Mexikaner (m)|Mexican
mexikanisch|Mexican
mexikanische Peso|Mexican Peso
Mexiko|Mexico
mich|me
Michael|Mikail
midday|Mittag
middle|Mitte (f)
middle|mittel
middle|Mittelpunkt (m)
middle|mittler-
middle|mittlere
middle seat|Mittelsitzplatz (m)
middleweight|Mittelgewicht
midfield|Mittelfeld
midfielder|Mittelfeldspieler
midlander|Mittelländer
midline|Mittellinie
midnight|Mitternacht (f)
midnightly|mitternächtlich
midship|Mittelschiff
midst|inmitten
midway|Mittelweg
midweek|Wochenmitte
midwife|Hebamme
midwives|Hebammen
Mietbetrag (m)|rental
Miete (f)|rent
Miete (f)|rental
mieten|hire
mieten|rent
Mietwohnung (f)|apartment
Mietwohnung (f)|flat
might|könnte
might|Macht (f)
might|macht gewalt
mighty|gross
migrant|Auswanderer
migrants|Auswanderer
migrate|abwandern
migrate|wandern
migrated|ausgewandert
migration|Völkerwanderung
migrations|Völkerwanderungen
migratory|wandernd
Mikail|Michael
Milch (f)|milk
milchig|milky
Milchmann|milkman
Milchmädchen|milkmaid
milchmänner|milkmen
Milchwirtschaft (f)|dairy
mild|gelind
mild|leicht
mild|sanft
mild soap|milde Seife (f)
milde Seife (f)|mild soap
mildest|am mildesten
mildhearted|weichherzig
mile|Meile (f)
milestone|Meilenstein
milestones|Meilensteine
milfoil|Blätterteig
milfoils|Blätterteige
militarism|Militarismus
Militarismen|militarisms
militarisms|Militarismen
Militarismus|militarism
militaristic|militäristisch
militarize|militärisieren
militarized|militärisiert
military|Militär
militia|Milizjustiz
Militär|military
militärisieren|militarize
militärisiert|militarized
militäristisch|militaristic
Milizjustiz|militia
milk|melken
milk|Milch (f)
milkmaid|Milchmädchen
milkman|Milchmann
milkmen|milchmänner
milky|milchig
mill|Fräsmaschine (f)
mill|Mühle (f)
millcourse|Mühlweg
milled|gemahlen
millennium|Jahrtausend
miller|Müller
millers|Müller
millet|Hirse
millhouse|Mühle
Millionen|millions
millions|Millionen
millipede|Tausendfüssler
millipedes|Tausendfüssler
mince|Gehacktes
minced|gehackt
mincemeat|Hackfleisch
Minderheit|minority
Minderheiten|minorities
mindestens|at least
Mindestgang (m)|minimum speed
mindful|gedankenvoll
mindless|gedankenverloren
mine|Bergwerk
mine|Grube (f)
mine|meiner
mine|meines
mine|mein,Mine (f)
mine|Zeche (f)
Mine (f)|mine
minefield|Minenfeld
Minenarbeiter|miner
Minenfeld|minefield
minenraeumen|minesweeping
Minenraeumer|minesweeper
miner|Minenarbeiter
mineral|anorganisch
mineral|Mineral (n)
mineral|mineralisch
Mineral (n)|mineral
mineral water|Mineralwasser (n)
Mineralien|minerals
mineralisch|mineral
Mineraloge|mineralogist
Mineralogen|mineralogists
mineralogical|mineralogisch
Mineralogie|mineralogy
mineralogisch|mineralogical
mineralogist|Mineraloge
mineralogists|Mineralogen
mineralogy|Mineralogie
minerals|Mineralien
Mineralwasser (n)|mineral water
minestrone soup|Gemüsesuppe (f)
minesweeper|Minenraeumer
minesweeping|minenraeumen
minibus|Kleinbus
minibus|Kleinbus (m)
minimalism|Minimalismus
Minimalismus|minimalism
minimieren|minimize
Minimierung|minimization
minimization|Minimierung
minimize|minimieren
minimum|Minimum (n)
Minimum (n)|minimum
minimum speed|Mindestgang (m)
mining|Bergbau (m)
minister|Geistliche (m)
minister|Minister (m)
minister|Pastor (m)
minister|Pfarrer (m)
Minister (m)|minister
Ministerium (n)|department
mink|Nerz (m)
minorities|Minderheiten
minority|Minderheit
mir|me
mir geht es jetzt wieder besser|I feel better now
mir ist schlecht|I feel sick
mir ist schwindlig|I feel dizzy
mirror|Spiegel (m)
mirror|spiegeln
mirror|widerspiegeln
Mischling|mongrel
Mischungsalat (m)|mixed salad
miserabel|abysmally
miss|fräulein
miss|verfehlen
miss|verlust
miss|vermissen
miss|verpassen
miss|versäumen
Missbrauchen|abusing
Missbrauchlich|abusively
Missbraucht|abuses
mission|Auftrag (m)
mission|Mission (f)
mission|Sendung (f)
Mission (f)|mission
Missionar (m)|missionary
missionary|Missionar (m)
mit|by
mit|with
mit dem Kopf zuerst|headforemost
mit Fenstern|windowed
mit Reissverschluss|zipped
mit Sand bestreuen|sand
Mitarbeiter (m)|associate
Mitglied (n)|insider
Mitlaut (m)|consonant
Mitleid (n)|pity
mitmachen|join
Mittag|midday
Mittag (m)|noon
Mittagessen (n)|lunch
Mittagessenbesprechung (f)|lunch meeting
Mittagessenkasten (m)|lunch box
mittags|at noon
Mitte (f)|medium
Mitte (f)|middle
mitteilen|communicate
mitteilte|wrote
mittel|middle
Mittel (n)|medium
Mittelfeld|midfield
Mittelfeldspieler|midfielder
Mittelgewicht|middleweight
Mittellinie|midline
Mittelländer|midlander
Mittelmeer (n)|Mediterranean Sea
Mittelpunkt (m)|middle
Mittelschiff|midship
Mittelsitzplatz (m)|middle seat
Mittelweg|midway
Mittelwort (n)|participle
mitten; unter|among
Mitternacht (f)|midnight
mitternächtlich|midnightly
mittler-|middle
mittlere|middle
Mittwoch (m)|Wednesday
mixed|gemischt
mixed salad|Mischungsalat (m)
Mißbrauch|abuse
mißbrauchen|abuse
mißbraucht|abused
mißhandeln|abuse
Mißhandlung|abuse
model|formen
model|Modell (n)
model|müstergültig
model|Muster (n)
model|Vorbild (n)
modeled|geformt
Modell (n)|model
modem|Modem (n)
Modem (n)|modem
moderate|mässig
moderated|gemässigt
moderately|gemässigt
modern|neuzeitlich
modernist|modernistisch
modernistisch|modernist
Mohrrübe (f)|carrot
moist|feucht
molar|Backenzahn (m)
mold|Form (f)
mold|formen
mold|gestalten
mold|schimmel
Molkerei (f)|dairy
momentan|current
momentum|Impuls
momentums|Impulse
monarchic|monarchisch
Monarchie|monarchy
monarchisch|monarchic
monarchy|Monarchie
monastery|Kloster
Monat (m)|month
monatliche Zeitschrift (f)|monthly magazine
Monday|Montag
monday|Montag
money|Geld
money|Geld (n)
money changer|Geldwechsler (m)
money exchange|Wechsel (m)
money order|Anweisung (f)
money order|Postanweisung (f)
money order|Zahlkarte (f)
moneybags|Geldsäcke
moneylender|Geldverleiher
moneylenders|Geldverleiher
moneyless|geldlos
mongrel|Mischling
Montag|Monday
Montag|monday
month|Monat (m)
month of the year|Jahresmonat (m)
monthly magazine|monatliche Zeitschrift (f)
monument|Denkmal (n)
monumental|gewaltig
monumental|ungeheuer
Moorboden|quagmire
more|mehr
more|mehr weitere
moreover|außerdem
moreover|überdies
moreover|ferner
Morgen (m)|morning
Morgen (n)|tomorrow
Morgens|in the morning
Morgenzeitung (f)|morning newspaper
morning|Morgen (m)
morning newspaper|Morgenzeitung (f)
Mortise (f)|nut
mosaic|mosaik
mosaik|mosaic
moslem|muslim
mostrich|mustard
motel|Motel (n)
Motel (n)|motel
mother|Mutter (f)
mother|mutter
mother of pearl|Perlemutter (f)
mothered|muttered
motion|Antrag (m)
motion|Bewegung (f)
motion|Schwung (m)
motion sickness|Bewegungkrankheit (f)
motor|Motor (m)
Motor (m)|engine
Motor (m)|motor
Motorhaube (f)|bonnet
motorway|Autobahn (f)
mountain|Berg (m)
mountain|Gebirge (n)
mountain range|Bergkette (f)
mountain view|Bergausblick (m)
mountainous|gebirgig
mountains|Berge (pl)
mountains|Gebirge (pl)
mouse|Maus (f)
mouse|Rollkugelgerät (n)
mouth|Maul (n)
mouth|Mündung (f)
mouth|Mund (m)
mouthwash|Mundwasser (n)
move|bewegen
move|Bewegung (f)
move|rücken
move|Zug (m)
movie|Film (m)
movies|Filme (pl)
movies|Kono (pl)
Mr.|Herr (m)
Mrs.|Frau (f)
Ms.|Frau (f)
muffin|Flittchen (n)
muffin|Teesemmel (f)
Mull (m)|gauze
Mund (m)|mouth
mundane|weltlich
Mundart (f)|dialect
Mundwasser (n)|mouthwash
municipal|kommunal
municipal|städtisch
municipal government|Stadtregierung (f)
municipal law|Stadtrecht (n)
munkeln|rumor
Muschel|shellfish
Muscheln (pl)|mussels
Muschelschale (f)|seashell
muscle|Muskel (m)
museum|Museum (n)
Museum (n)|museum
mushroom|Pilz (m)
mushrooms|Champignons (pl)
music|Musik (f)
music|Rockmusik (f)
musical|musikalisch
Musik (f)|music
musikalisch|musical
Musikkapelle (f)|orchestra
Muskatblüte|mace
Muskel (m)|muscle
muslim|moslem
mussels|Muscheln (pl)
mustache|Schnurrbart (m)
mustard|mostrich
mustard|Senf (m)
Muster (n)|model
Muster (n)|sample
mutter|mother
Mutter (f)|mother
Mutter (f)|parent
muttered|mothered
Mutti|ma
mutual|gegenseitig
muzzle|einen Maulkorb anlegen
muzzle|Maulkorb (m)
muzzle|Mündung (f)
muzzle|Schnauze (f)
my|mein
my|meine
my name is (...)|ich heiße (...)
Mädchen (n)|girl
Mädchen (n)|maid
Mädel (f)|girl
Mähler (pl)|meals
Männchen (n)|male
Männer (pl)|men
männlich|male
männlich|masculine
Märchen|tale
Märchen (n)|fairy tale
Märkte|markets
März|march
mässig|moderate
mässig|temperate
Möbel  (pl)|furniture
möchte|will
mögen|like
mögen|may
möglich|possibly
möglicherweise|possibly
Möhre (f)|carrot
müde|sleepy
müde|tired
Mühle|millhouse
Mühle (f)|mill
Mühlweg|millcourse
Müller|miller
Müller|millers
Mündung (f)|mouth
Mündung (f)|muzzle
Münzen (pl)|coins
mürrisch|crabby
müstergültig|model
Mütze (f)|bonnet
Mütze (f)|cap
