809
paar|a few
pilot|Lotse (m)
pilot|lotsen
pilot|Pilot (m)
pilot|steuern
Pilot (m)|pilot
Pilotenkanzel (f)|cockpit
Pilsener (m)|lager
Pilz (m)|mushroom
pimple|Pickel (m)
pin|anheften
pin|heften
pin|Nadel (f)
pin|Stecknadel (f)
pin|Stift (m)
pine|Fichte (f)
pine|Kieferföhre (f)
pine|Pinie (f)
pineapple|Ananas (f)
Pinguin|penguin
Pinguine |penguins
Pinie (f)|pine
pink|rosa
pinkie finger|kleine Finger (m)
Pinzette (pl)|tweezers
Pionier (m)|engineer
Pisces|Fische (f)
Piston (n)|nipple
pity|erbarmen
pity|Mitleid (n)
pity|Schade (f)
pl.|bagpipes
pl.|bags
pl.|bakeries
pl.|bakers
pl.|ballerinas
pl.|ballfields
pl.|ballrooms
pl.|bandwidths
pl.|dachshunds
pl.|daddies
pl.|dancers
pl.|dances
pl.|dangers
pl.|dashboards
pl.|databanks
pl.|databases
place|der Ort
plage|plagen
plagen|plage
plagen|plague
plague|plagen
plagued|geplagt
plaice|Scholle (f)
plaid|das Karomuster
plaided|kariert
plain|einfach, schlicht, blank
plaintiff|der Kläger
plane|eben
plane|Ebene (f)
plane|Fläche (f)
plane|Flugzeug (n)
plane|Hobel (m)
plane|hobeln
planet|Planet (m)
Planet (m)|planet
planschen|dabble
plant|Kraut (n)
plant|Pflanze (f)
plant|pflanzen
plant|Werkstatt (f)
Plantage (f)|plantation
plantation|Pflanzung (f)
plantation|Plantage (f)
plastic|Kunststoff (m)
plastic|Plastik (f)
plastic|plastisch
Plastik (f)|plastic
plastisch|plastic
plate|Anode (f)
plate|Platte (f)
plate|plattieren
plate|Teller (m)
platform|Bahnsteig (m)
platt|flat
Platte (f)|plate
Platte (f)|tray
Plattengeschäft (n)|record store
platter|Servierplatte (f)
platter|Triter (m)
plattieren|plate
Platz (m)|plaza
Platz (m)|seat
Platz (m)|square
Platzkarten (pl)|reservations
Platznummer (f)|seat number
Plaudermaul (m)|gossip
play|Spiel (n)
play|spielen
play|Stück (n)
play|Theaterstück (n)
playground|Spielplatz (m)
playground|Tummelplatz (m)
plaza|Platz (m)
please|behagen
please|belieben
please|bitte
please|gefallen
pleased to meet you|wie gehts es Ihnen
pleite|broke
pliers|Drahtzange (pl)
pliers|Kneifzange (pl)
pliers|Zange (pl)
plotzlich|abruptly
plough|pflügen
plow|pflügen
plow|Pflug (m)
plug|einschalten
plug|einstecken
plug|Stecker (m)
plug|Stöpsel (m)
plug|Verschluß (m)
plum|Pflaume (f)
plum|Zwetschge (f)
Plunder (m)|trash
plural|insults
plural|Mehrzahl (f)
plural|Plural (m)
plural|raccoons
Plural (m)|plural
Plätteisen (n)|iron
plätten|iron
pocket|Ablagefach (n)
pocket|Tasche (f)
poison|Gift (n)
poison|vergiften
Poland|Polen
Polen|Poland
police|Polizei (f)
police|Polizist (m)
Police (f)|policy
policeman|Polizist (m)
policy|Grundsatz (m)
policy|Police (f)
policy|Politik (f)
polieren|polish
polish|polieren
polish|Politur (f)
polish|polnisch
polish|putzen
polish|Schliff (m)
political|politisch
political cartoon|politische Karikatur (m)
politician|Politiker (m)
politics|Politik (f)
Politik (f)|policy
Politik (f)|politics
Politiker (m)|politician
politisch|political
politische Karikatur (m)|political cartoon
Politur (f)|polish
Polizei (f)|police
Polizist (m)|police
Polizist (m)|policeman
polnisch|polish
Polsterei|upholstery
Polsterer|upholsterer
Polsterer|upholsterers
polstern|upholster
Polstern|upholstering
Polsterung|upholstery
Pomeranze (f)|orange
Pommes frites (pl)|chips
Pommes frites (pl)|french fries
Pommes frites (pl)|potato chip
pond|Teich (m)
pond|Weiher (m)
poor|arm
poor|mangelhaft
poor|schlecht
Pope|Papst (m)
popular|beliebt
popular|populär
popular|volkstümlich
popular|weitverbreitet
populär|popular
pork|Schweinefleisch (n)
port|Portwein (m)
Portemonnaie (f)|purse
porter|Gepäckträger (m)
porter|Pförtner (m)
porter|Portier (m)
Portier (m)|doorman
Portier (m)|porter
portion|Anteil (m)
portion|Portion (f)
portion|Stück (n)
portion|Teil (m)
portion|zuteilen
Portion (f)|portion
Portion (f)|serving
Portionslöffel (m)|serving spoon
portugiesisch|portuguese
portuguese|portugiesisch
Portwein (m)|port
Porzellan (n)|china
Possenreisser|zany
Possenreisser (pl.)|zanies
possibly|möglich
possibly|möglicherweise
Post|mailings
post|absenden
post|anschlagen
post|Pfahl (m)
post|pfosten
post|Post (f)
post|posten
Post (f)|mail
Post (f)|post
Post (f)|post office
post office|Post (f)
post office|Postamt (n)
post office box|Postfach (n)
postal code|Postkoda (f)
Postamt (n)|post office
Postanweisung (f)|money order
Postbote|mailmen
postcard|Ansichtskarte (f)
postcard|Postkarte (f)
posten|post
Postfach (n)|post office box
Postflugzeug|mailplane
Postflugzeuge|mailplanes
posthumously|postum
Postkarte (f)|postcard
Postkoda (f)|postal code
Postsack|mailsack
Postsäcke|mailsacks
postum|posthumously
pot|Topf (m)
potato chip|Pommes frites (pl)
poultry|Geflügel (n)
Pounds Sterling|Pfund Sterling
powder|Puder (m)
powder|pudern
powder|Pulver (n)
powerful|gewaltig
powerless|machtlos
powerless|ohnmächtig
Preis (m)|cost
Preis (m)|price
Preisgabe|abandonment
Preisgabe|abandonments
preisgeben|abandon
prepare|anfertigen
prepare|bereiten
prepare|herrichten
prepared|bereit
prepared|bereitete vor
prescription|Verordnung (f)
prescription|Vorschrift (f)
press|Presse (f)
press|pressen
Presse (f)|press
pressen|press
pretty|nett
pretty|niedlich
price|bewerten
price|Preis (m)
priest|Pfarrer (m)
priest|Priester (m)
Priester (m)|priest
prima|super
print|Druck (m)
print|drucken
print|Fotoabzug (m)
printed|druckend
printer|Drucker (m)
prints|Drucke (pl)
prisoner|Gefangehner
privat|private
Privatbad (n)|private bath
private|geheim
private|privat
private bath|Privatbad (n)
private beach|Privatstrand (m)
private plane|Privatflugzeug (n)
Privatflugzeug (n)|private plane
Privatscheck (m)|personal check
Privatstrand (m)|private beach
pro stueck|apiece
Probe (f)|audition
Probe (f)|sample
Probe (f)|trial
probieren|try
problem|Problem (n)
Problem (n)|hitch
Problem (n)|issue
Problem (n)|problem
Problem (n)|question
process|bearbeiten
process|verarbeiten
process|verfahren
process|Vorgang (m)
produce|erzeugen
produce|hervorbringen
produce|produzieren
producer|Hersteller (m)
product|Produkt (n)
production|Herstellung (f)
production|Produktion (f)
products|Produkte (pl)
Produkt (n)|product
Produkte (pl)|products
Produktion (f)|production
produzieren|produce
professor|Professor (m)
Professor (m)|professor
Prognose (f)|prognosis
prognosis|Vorhersage (f), Prognose (f)
program|Programm (n)
program|programmieren
program language|Programmiersprache (f)
Programm (n)|program
programmieren|program
Programmiersprache (f)|program language
progress|Fortschritt (m)
project|entwerfen
project|Entwurf (m)
project|Projekt (n)
project|projizieren
Projekt (n)|project
projizieren|project
Prolet (m)|cad
promovierte|graduated
Pronomen (n)|pronoun
pronoun|Pronomen (n)
propeller-driven plane|Propellerflugzeug (n)
Propellerflugzeug (n)|propeller-driven plane
proper|angebracht
proper|eigen
proper|geeignet
proper|ordentlich
proper|passend
proprietor|Besitzer (m)
proprietor|Inhaber (m)
Prost!|cheers!
Prostituierte (f)|prostitute
prostitute|Dirne (f)
prostitute|Prostituierte (f)
protect|sichern
protesatische Kirche (f)|Protestant church
protestant|evangelisch
protestant|Protestant (m)
Protestant (m)|protestant
Protestant church|protesatische Kirche (f)
proxy|Stellvertretung
prozent|percent
Prozent (n)|percentage
Prozentsatz (m)|percentage
Prozeß (m)|trial
prune|Backpflaume (f)
Prunk (m)|parade
prägen|stamp
prüfen|check
Prüfsystem|exerciser
Prügel (pl)|socks
pub|Bierlokal (n)
pubic|scham-
public|allgemein
public|Publikum (n)
Publikum (n)|public
publish|bekanntgeben
publish|herausbringen
publish|herausgeben
publish|publizieren
publizieren|publish
Puder (m)|face powder
Puder (m)|powder
puderdose|compact
pudern|powder
pull|Beziehung (f)
pull|raufen
pull|zerren
pull|ziehen
pull|Zug (m)
pull|Zugkraft (f)
pull|zupfen
pulled|zog
Pullover (m)|sweater
Pult (m)|desk
Pulver (n)|powder
pulverisieren|pulverize
pulverize|pulverisieren
pulverize|zermahlen
pulverize|zerreiben
punch|Faustschlag
punched|gestanzt
puncher|Locher
punching|schlagen
punctuate|unterstreichen
punctuated|unterstrich
punctuation|Interpunktion
punish|bestrafen
punishable|strafbar
punished|bestraft
punishment|Strafe
punk|der Punk
punks|die Punks
Punkt (m)|period
Punktgleichheit (f)|tie
pur|straight
purple|purpur
purple|purpurn
purple|purpurrot
purpur|purple
purpurn|purple
purpurrot|purple
purse|Beutel (m)
purse|Geldbeutel (m)
purse|Portemonnaie (f)
pursue|nachstellen
pursue|verfolgen
Pusterohr|peashooter
put|setzen
put|stellen
put on|anlegen
put on|antun
put on|anziehen
put on|aufsetzen
put on|umlegen
put on|veranstalten
Puter (m)|Turkey
putzen|polish
Pächter|yeoman
pünktlich|on-time
