1003
each|jeder
eingeben|give
eingeboren|aboriginal
eingeboren|indigenous
eingeboren|native
Eingeborene (m)|native
Eingeborenen |natives
eingesackt|bagged
eingeschaltet|operate
eingesperrt|caged
eingetragen|incorporated
eingetragen|registered
Eingeweihte (m)(f)|insider
einhalten|abide
einhalten|check
einhalten|keep
einhalten|stop
einheimisch|indigenous
einheimische|local
einhüllen|jacket
einig|united
einige|few
einige|several
einige|some
einige manche|some
einjährig|yearlong
Einkauf (m)|shopping
Einkaufen (n)|shopping
einkaufend|shopping
Einkaufgebiet (n)|shopping area
Einkaufszentrum (n)|shopping center
Einkauftasche (f)|shopping bag
einkerben|indent
einklammern|cramp
einkleidend|clothing
einklemmen|sandwich
einladen|invite
einladend|welcoming
Einladung (f)|invitation
Einlage (f)|deposit
Einlage (f)|insert
einlassen|admit
einlassung|admittance
Einlaß (m)|entrance
Einlegeboden (m)|shelf
einlegen|deposit
einlegen|insert
einmachen|can
einmal|once
einmal einst|once
einnehmen|take
einordnen|file
einordnen|stay in lane
einpacken|up
einpassen|seat
einrasten|click
einrechnen|include
einreiten|file
einrichten|establish
einrichten|install
Einrichtung (f)|establishment
Einrichtungen|facilities
einrücken|indent
eins|one
eins|one
Einsacker|bagger
Einsacker|baggers
Einsatz (m)|inset
einschalten|plug
Einschlag (m)|envelope
einschlagen|take
einschließen|include
Einschnitt (m)|incision
Einschreibebrief (m)|registered letter
einschreiben|register
einsegnen|confirm
einselmal|onetime
einsetzen|install
einsetzen|let
Einsparungen (pl)|savings
einsperren|caging
einsperren|jail
einst|once
einst|one day
einstecken|plug
einstellen|justify
einstellen|set
Einstellung (f)|adjustment
Einstellung (f)|justification
Einstellung (f)|setting
einstufen|rate
eintauchen|dip
einteilen|grade
einteilen|graduate
Eintrag (m)|entry
eintragen|record
eintreffen|arrive
eintreffen|get there
Eintritt|admission
Eintritt (m)|entrance
Eintritt (m)|entry
Eintritt frei|admission free
Eintritte|admissions
Eintrittskarte (f)|ticket
einundachtzig|eighty one
einunddreißig|thirty one
einundfünfzig|fifty one
einundneunzig|ninety one
einundsechzig|sixty one
einundsiebzig|seventy one
einundviertzig|forty one
einundzwanzig|twenty one
einwachsene Zehennagel (m)|ingrown toenail
Einwand|objection
Einwanderer (m)|immigrant
einwandern|immigrate
einwandfrei|sound
einweg-|one-way
einweisen|instruct
einwickeln|wrap
Einwohner|habitant
Einwohner|habitants
Einwände|objections
einzel|single
einzele Portion (f)|single serving
einzelhandel|retail
einzelheiten|particular
einzeln|single
einzeln speziell|particular
einzelne|single
einzelner|single
einzig|single
einzig|sole
Einzug (m)|entry
Einzäunung (f)|fence
Eis|ice
Eis (n)|ice
Eis (n)|ice cream
Eisapfen|icicles
Eisapfen|icicles
Eisberg|iceberg
Eisberge|icebergs
Eisbrecher|icebreaker
Eisen (n)|iron
Eisenbahnzug (m)|train
Eisenwaren (f)|hardware
Eisenwarengeschäft (n)|hardware store
eisern|iron
eisig|icily
eisig|icy
Eiskegel (m)|ice cream cone
Eisscholle|calf
Eisschrank (m)|refrigerator
Eissundae (n)|ice cream sundae
Eiswürfel (pl)|ice cubes
Eiszapfen|icicle
eitern|ulcerate
eiternd|ulcerative
eitert|ulcerates
Eiterung|ulceration
Eiterungen|ulcerations
either|eine von zweien
either|einer von beiden
either|entweder
Ekel (m)|nausea
ekelte sich|nauseated
eklig|nasty
elastic|elastisch
elastically|elastisch
elasticity|Elastizität
elastisch|elastic
elastisch|elastically
Elastizität|elasticity
elbow|Biegung (f)
elbow|Ellbogen (m)
elderly|ältlich
elders|Älteste
eldest|älteste
electability|Wählbarkeit
electable|wählbar
elected|gewählt
election|Wahl (f)
elections|Wahlen
electorate|Wählerschaft (f)
electric|elektrisch
electric cord|elektische Schnur (f)
electric generator|elektrische Generator (m)
electric outlet|elektrische Auslaß (m)
electric power|elektrische Strom (m)
electric shaver|elektrische Rasierer (m)
electrical|elektrisch
electrically|elektrisch
electrician|Elektriker
electricians|Elektriker
electricity|Elektrizität (f)
electrification|Elektrifikation
electrify|elektrifizieren
electronic|elektronik
electronic|elektronisch
electronics store|elektronische Warenhaus (n)
Elefant (m)|elephant
elektische Schnur (f)|electric cord
Elektrifikation|electrification
elektrifizieren|electrify
Elektriker|electrician
Elektriker|electricians
elektrisch|electric
elektrisch|electrical
elektrisch|electrically
elektrische Auslaß (m)|electric outlet
elektrische Generator (m)|electric generator
elektrische Rasierer (m)|electric shaver
elektrische Strom (m)|electric power
Elektrizität (f)|electricity
Elektromagnetisch|magnetoelectric
elektronik|electronic
elektronisch|electronic
elektronische Warenhaus (n)|electronics store
elend|sick
Elendsviertel (n)|slum
elephant|Elefant (m)
elevator|Aufzug (m)
elevator|Fahrstuhl (m)
elevator|Lift (m)
elevator door|Fahrstuhltür (f)
eleven|elf
eleventh|elft-
eleventh|elfte
elf|eleven
Elfenbein (n)|ivory
elft-|eleventh
elfte|eleventh
Elizabet|Elizabeth
Elizabeth|Elizabet
elk|Wapiti
elks|Wapitis
Ellbogen (m)|elbow
Elle|ulna
Elle (f)|yard
elm tree|Ulmebaum (m)
Elster|magpie
Elstern|magpies
elterlich|parental
Eltern (f)|parent
email|Epost (f)
embarrassing|peinlich, peinsam
embarrassingly|peinlich
embassy|Botschaft (f)
emerald|Smaragd (m)
emergency|Not (f)
emergency|Notfall (m)
emergency exit|Notausgang (m)
emergency room|Notzimmer (m)
emigrate|auswandern
emperor|kaiser
Empfang (m)|reception
empfangen|receive
empfing|received
Empfänger (m)|addressee
empor|upward
emporragen|rise up
emsig|busy
end|Ausgang (m)
end|beenden
end|beendigen
end|Ende (n)
end|enden
end|endigen
ende|finished
Ende (n)|end
enden|end
endgültig|final
endigen|end
endlich|final
endlich|finally
eng|narrow
engaged|besetzt
engagieren|hire
engagiert|hired
enge Umarmung (f)|cuddle
Engel|angel
Engelfisch|angelfish
enger|narrower
engine|Maschine (f)
engine|Motor (m)
engine|Triebwerk
engineer|Ingenieur (m)
engineer|Pionier (m)
engineer|Techniker (m)
engines|Triebwerke
englisch|British
englisch|English
englisch|englishh
Englisch-sprechend|English-speaking
englische|english
englische|englishh
Englischesprache (f)|English language
English|englisch
english|englische
English language|Englischesprache (f)
English-speaking|Englisch-sprechend
englishh|englisch
englishh|englische
engst-|narrowest
engstirnig|narrowminded
Enkel (m)|grandson
Enkelin (f)|granddaughter
Enkelsohn (m)|grandson
Enkeltochter (f)|granddaughter
enough|genug
ensure|garantieren
ensure|sichern
ensure|sicherstellen
ensure|sicherstellen garantieren
Entbindung (f)|delivery
entblößen|bare
entdecken|discover
Entdeckung (f)|discovery
Ente (f)|duck
enterprise|Unternehmung (f)
enterprise|Unternehmungsgeist (m)
entfernt|far
entfuehren|abduce
entfuehren|abducting
entfuehren|abducts
Entfuehrer|abductor
entfuehrt|abduced
entführen|abduct
entführen|kidnap
Entführer|kidnapper
entführt|abducted
Entführung|abduction
Entführungen|abductions
enthalten|hold
enthaltsam|continent
Enthaltung|abstinence
entlang|along
entlassen|sack
Entlein|duckling
entrance|Einfahrt (f)
entrance|Eingang (m)
entrance|Einlaß (m)
entrance|Eintritt (m)
entrance|entzücken
entrepreneur|Unternehmer (m)
entry|Eingabe (f)
entry|Eingang (m)
entry|Eintrag (m)
entry|Eintritt (m)
entry|Einzug (m)
entsagen|abdicate
entsagen|abjure
entschlossen|determined
Entschluss (m)|conclusion
entschuldigen|apologize
entschuldigen|excuse
Entschuldigung (f)|excuse
entsetzen|revolt
entsetzlich|abysmally
entspannen|unbend
Entspannend|unbending
Entstehung (f)|origin
entweder|either
entweder oder|whether
entwerfen|project
entwickeln|develop
entwickelt|developed
Entwickler (m)|developer
Entwicklung (f)|development
Entwurf (m)|project
entwurzeln|uproot
entwurzelt|uprooted
entwöhnen|wean
entwöhnt|weaned
entzücken|entrance
entzünden|ignite
entäuschte|disappointed
envelope|Briefumschlag (m)
envelope|Einschlag (m)
envelope|Hülle (f)
envelope|verhüllen
environment|Austattung (f)
environment|Umgebung (f)
environment|Umwelt (f)
environmental hazard|Umweltzufall (m)
environmentalist|Umweltschützer (m)
Epost (f)|email
Equador|Ecuador
er|duchies
er|he
er selber|himself
er selbst|himself
er sollte (should)|he'd
er wird|he'll
er würde (would)|he'd
erachten|consider
erase|ausradieren
erase|löschen
erase|radieren
erbarmen|pity
erbauen|edify
erbaulich|edifying
erbaut|edified
Erbsen|peas
Erbsen (pl)|peas
Erbsensuppe (f)|peasoup
Erdbeben (n)|earthquake
Erdbeben (n)|earthquakes
Erdbeere (f)|strawberry
erdboden|ground
Erde (f)|earth
Erde (f)|ground
erden|earth
erden|ground
Erdferkel|aardvark
Erdferkel|aardvarks
Erdgeschoß (n)|ground floor
Erdkugel (f)|globe
Erdnuß (f)|peanut
Erdschatten|umbra
Erdteil (m)|continent
Erdung (f)|earth
erfolgreich|successful
erfordern|require
erfreut|glad
Erfrischungen (pl)|refreshment bar
erfüllen|fill
ergeben|yield
ergebenst|faithfully
ergänzen|add
Ergänzung (f)|appendix
erhalten|keep
erhalten|maintain
erhalten|obtain
erhalten|obtained
erhalten|receive
erhalten anerkennen|receive
Erhebung|upheaval
erhellen|light
erhielten bekamen|received
erhitzen|heat
erhältlich|available
erhältlich|obtainable
erhältlich|obtainably
erhöhen|raise
Erhöhung (f)|raise
Erhöhung (f)|rise
erinnern|remember
Erinnerung (f)|memory
erklettern|climb
Erkrankung (f)|illness
Erkältung (f)|cold
erlassen|forgive
erlauben|permit
Erlaubnis (m)|permit
erlaubt|allows
erledigt|exhausted
erleichtern|facilitate
erleichtern|facilitates
ermessen|calculate
ermine|Hermelin (m)
ermine|Hermelinpelz (m)
ermitteln|locate
ermöglichen|permit
ermüdet|tires
erneuern|renew
erniedrigen|abase
erniedrigend|abasing
Erniedriger|abaser
erniedrigt|abased
erniedrigt|abases
erniedrigt|abject
Erniedrigung|abasement
erniedrigung|abasement
Erniedrigung|abasements
ernst|earnest
ernst|serious
ernsthaft|earnestly
ernsthaft|serious
Ernsthaftigkeit|earnestness
Erpel|drake
errechnen|calculate
erreichbar|available
erreichen|accomplish
erreichen|achieve
erreichte|achieved
ersatz|replacement
ersatz|standby
ersatz|surrogate
ersatz|understudy
erschaffen|create
erscheinen|appear
Erscheinung|appearance
Erscheinungen|appearances
erschießen|shoot
erschließen|open
erschöpft|exhausted
erschüttern|shock
ersehen|see
ersparen|save
Ersparnisse (pl)|savings
erst|first
erstaunen|amaze
erstaunt|amazed
erste|first
ersteigen|climb
erstellen|create
ersten|first
erstens|first
erster|first
erteilen|give
Ertrag (m)|return
Ertrag (m)|yield
eruption|ausbruch
Erwachsene|adult
Erwachsene|adults
erwartend|expecting
erwartete|expected
erweichen|macerate
erweitert|updated
Erweiterung (f)|extension
erwerb|getting
erwerben|acquire
erwidern|return
Erwiderung (f)|return
erwägen|consider
erwähnt|named
erwärmen|heat
Erwärmung (f)|heating
erzeugen|create
erzeugen|generate
erzeugen|produce
erziehen|educate
Erzieher|educationalist
Erzieher|educationist
erzieherisch|educational
Erziehung|education
erzählen|narrate
erzählen|narrate
erzählen Sie mir wann|tell me when
erzählen Sie mir warum|tell me why
erzählen Sie mir wie|tell me how
erzählen Sie mir woher|tell me where
erzählend|narrating
Erzähler|narrator
Erzähler|narrators
erzählt |narrates
erzählte|narrated
Erzählung (f)|narration
Erzählung (f)|story
Erzählungen|narrations
eröffnen|open
Eröffnung|opening
es bekommt spät|it is getting late
es funktioniert nicht|it doesn't work
es gefällt mir|I like it
es gibt etwas falsch mit (der) (...)|there is something wrong with the (...)
es ist (...)|it is (...)
es ist auch kostspielig|it is too expensive
es ist die Zeit zu gehen|it is time to go
es ist dort drüben|it is over there
es ist dreizehn Uhr|it is one o'clock
es ist eilig|it is urgent
es ist ein Notfall|it is an emergency
es ist ein Uhr|it is one o'clock
es ist eine Unordnung|it is a mess
es ist fein|it is fine
es ist gut|it is good
es ist Mittag|it is noon
es ist Mitternacht|it is midnight
es ist schade|it's a pity
es ist schlecht|it is bad
es ist schön|it is nice to meet you
es ist vierzehn Uhr|it is two o'clock in the afternoon
es ist wie (...)|it is like (...)
es kann nicht repariert werden|it cannot be repaired
es macht nichts|it doesn't matter
es passt nicht|it doesn't fit
es scheint (...)|it seems (...)
es scheint wie (...)|it seems like (...)
es tut mir leid|I am sorry to have troubled you
es war einmal|once upon a time
Esel|donkey
Esel (m)|jackass
essbar|edible
essen|eat
Essen (n)|food
essential|wesentlich
essentially|eigentlich
essentially|im grunde genommen
essentially|wesentlich
Esser|eater
Essig (m)|vinegar
Essigfrüchte (pl)|pickles
establish|aufbauen
establish|begründen
establish|einrichten
establishing|festsetzung
establishing|gründend
establishing|sich niederlassen
establishment|Einrichtung (f)
establishment|Gründung (f)
estate|Grundbesitz (m)
estate|Herrschaft (f)
estate|Nachlaß (m)
Etage (f)|floor
Etage (f)|story
Etappe (f)|hop
Etappe (f)|stage
Etikett (n)|label
etliche|several
etwa|about
etwa|about
etwas|anything
etwas|something
etwas; irgend ein; irgend welche|any
euch|ye
euch|you
euer|your
eure|your
europa|Europe
Europe|europa
evangelisch|protestant
evangelist|Evangelist (m)
evangelist|Evangelistin (f)
Evangelist (m)|evangelist
Evangelistin (f)|evangelist
eve|Vorabend (m)
evening|Abend (m)
evening|abendlich
evening gown|Abendkleid (n)
evening meal|Abendessen (n)
event|die Veranstaltung
events|die Veranstaltungen
every|alle
every|jede
every|jede alle
every|jeder
every|jedes
everything|aller
everything|alles
everywhere|allenthalben
everywhere|überall
everywhere|ueberall
ex-(...)|Alt-(...)
excellent|ausgezeichnet
excellent|trefflich
excellent|vortrefflich
excellent|vorzüglich
excursion|Abweichung (f)
excursion|Ausflug (m)
excursion|Tour (f)
excuse|beschönigen
excuse|entschuldigen
excuse|Entschuldigung (f)
exercise|Anwendung
exercise|Aufgabe
exercise|Übung
exercised|geübt
exerciser|Prüfsystem
exercises|Übungen
exercising|übend
exhale|ausatmen
exhausted|ausgebraucht
exhausted|erledigt
exhausted|erschöpft
exhausted|schachmatt
exit|Abtritt (m)
exit|Ausfahrt (f)
exit|Ausgang (m)
exit|aussteigen
exit|Notausgang (m)
expected|erwartete
expecting|erwartend
expectorate|ausspucken
export|ausführen
export|Ausfuhr (f)
export|Export (m)
export|Exportation (f)
export|exportieren
Export (m)|export
Exportation (f)|export
exported|exportierte
exporter|Exporteur (m)
Exporteur (m)|exporter
exportieren|export
exportierte|exported
exposure|Aufdeckung (f)
exposure|Aussetzung (f)
exposure|Belichtung (f)
express|ausdrücken
express|Expreß (n)
express train|Expreß (n)
expression|Ausdruck (m)
Expreß (n)|express
Expreß (n)|express train
extension|Ausdehnung (f)
extension|Erweiterung (f)
extension|Verlängerung (f)
extra|besonders
extra|zusätzlich
extrem fett (Schrift)|ultrabold
extrem schnell|ultrafast
Exultation (f)|triumph
exzentrisch|eccentric
eye|Auge (n)
eye|Öhr (n)
eye glasses|Brille (pl)
eyebrow|Augenbraue (f)
eyelash|Augenwimper (m)
eyelash|Wimper (m)
eßbar|eatable
Eßstäbchen (pl)|chopsticks
