922
d'art|der Kunst
deliver|abliefern
deliver|ausliefern
deliver|ausrichten
deliver|austragen
deliver|befreien
delivered|lieferte
delivery|Ablieferung (f)
delivery|Auslieferung (f)
delivery|Entbindung (f)
delivery|Lieferung (f)
dem|the
demand|fördern
demnächst|soon
democracy|Demokratie (f)
Demokratie (f)|democracy
demonstration|Demonstration (f)
demonstration|Kundgebung (f)
Demonstration (f)|demonstration
Demut (f)|humility
demütig|humble
demütigen|abase
demütigend|abasing
demütigt|abased
demütigt|abases
Demütigung|abasement
demütigung|abasement
Demütigung|abasements
den|the
den Unterbauch betreffend|abdominally
denken darum|think about
Denkmal (n)|monument
denn|for
dennoch|still
dennoch|yet
dental|zahnärztlich
dental assistant|Zahnhelfer (m)
dental assistant|Zahnhelferin (f)
dental floss|Zahnfloß (n)
dentist|Zahnarzt (m)
deodorant|desodorierend
deodorant soap|Desodoransseife (f)
depart|abfahren
depart|abreisen
depart|abwandern
depart|abweichen
depart|fortgehen
departed|abgeschieden
departed|fuhr ab
department|Abteilung (f)
department|Ministerium (n)
department store|Warenhaus (n)
departure|Abfahrt (f)
departure|Abmarsch (m)
departure|Abreise (f)
departure gate|Abreisepforte (f)
departures|Abfahrt (f)
deponieren|deposit
deposit|Ablagerung (f)
deposit|Anzahlung (f)
deposit|deponieren
deposit|Einlage (f)
deposit|einlegen
der|backstitch
der|backstop
der|baffler
der|bagel
der|baggageman
der|bagger
der|bailer
der|bailiff
der|baiter
der|balancer
der|baldhead
der|ballplayer
der|baloney
der|balsam
der|ban
der|bandmaster
der|banisher
der|of the
der|raccoon
der|saber
der|tabac
der|teaspoon
der|the
der Absolutismus|absolutism
der Ausdruck|hardcopy
der Bauch|abdomen
der Baum|tree
der Briefträger|mailman
der Entführer|abductor
der Fahrschein|ticket
der Hafen|harbor
der Hamburger|hamburger
der Hamster|hamster
der Handball|handball
der Hangar|hangar
der Harem|harem
der Hass (noun)|hate
der Hedonismus|hedonism
der Hedonist|hedonist
der Heiler|healer
der Hektoliter|hectoliter
der Herzschlag|heartbeat
der Hitzschlag|heatstroke
der Hörer|hearer
der Irre|madman
der Kläger|plaintiff
der Kopfhörer|headphone
der Kunst|d'art
der Macho|macho
der Mafioso|mafioso
der Magnet|magnet
der Makroprozessor|macroprocessor
der Notbehelf|makeshift
der Ohrenschmalz|earwax
der Ohrenstoepsel|earplug
der Ort|place
der Postbote|mailman
der Postsack|mailbag
der Punk|punk
der Schuldige|culprit
der Teckel|dachshund
der Tisch|table
der Tölpel|oaf
der Unterleib|abdomen
der Verdiener|earner
der Verdienst|earnings
der Zettel|ticket
der(/die) Helfershelfer(in)|abetter
der/die Abwesende|absentee
der/die Bekannte|acquaintance
derSchule|school
des|of the
des|the
des Seins|d'etre
des Staats|d'etat
des von|of
Desinfektionsmittel (n)|disinfectant
desk|Pult (m)
desk|Schalter (m)
desk|Schreibtisch (m)
Desodoransseife (f)|deodorant soap
desodorierend|deodorant
destination|Ausgabe (f)
destination|Bestimmung (f)
destination|Bestimmungsort (m)
destiny|Schicksal (n)
destiny|Verhängnis (n)
destroyer|Zestörer
destruktiv|abusive
deteriorate|verkommen
determined|entschlossen
determined|resolut
detour|machen einen Umweg
detour|Umleitung (f)
detour|Umweg (m)
deutlich|clear
deutsch|German
Deutsche (m)|German
Deutschemark|German Mark
Deutscher (m)|German
Deutschland (n)|Germany
develop|entwickeln
developed|entwickelt
developer|Entwickler (m)
development|Entwicklung (f)
development|Werdegang (m)
devil|Teufel
devil|Teufel (m)
Dezember|December
Dia (n)|slide
dial|wählen
dial|Wählscheibe (f)
dial|Zifferblatt (n)
dialect|Dialekt (m)
dialect|Mundart (f)
Dialekt (m)|dialect
Dialekt (m)|regional dialect
Diamant (m)|diamond
diamond|Diamant (m)
diamond|Karo (n)
diaper|Windel (f)
Diapositiv (n)|slide film
diary|Notizbuch (n)
diary|Tagebuch (n)
diary|Terminkalender (m)
dich|you
Dichtung (f)|seal
dick|fat
dickhauter|pachyderm
Dickicht (n)|brush
dictator|Diktator (m)
dictatorship|Diktatur (f)
dictionary|Lexikon (n)
dictionary|Wörterbuch (n)
did|tat
did you want (...)|habe Sie (...) benötigt
die|backers
die|backstairs
die|backstitches
die|backstroke
die|backswing
die|backwaters
die|bacteria
die|badges
die|badness
die|bafflement
die|bafflers
die|bagatelle
die|bagels
die|baggagemen
die|baggers
die|bail
die|bailiffs
die|baits
die|bakings
die|balalaika
die|balalaikas
die|balancers
die|balances
die|baldness
die|ballad
die|ballade
die|ballot
die|ballplayers
die|balms
die|balustrade
die|balustrades
die|bamboos
die|banishment
die|banjoes
die|krepieren
die|sterben
die|race
die|raceway
die|tabletop
die|tabloid
die|teardrop
die|the
die|track
die Abkürzung|abbreviation
die Abschwörung|abjuration
die Absolution|absolution
die Absätze|heels
die Abtragung (of rock)|ablation
die Abweichung|aberration
die Abwesenden|absentees
die Abwesenheit|absenteeism
die Adler|eagles
die akademische Welt|academia
die Attraktion -en|attraction
die Baeuche|abdomens
die Bauer (oustide wall)|wall
die Bekanntschaft|acquaintances
die Betonung|accentuation
die Bombe|bomb
die Bomben|bombs
die Briefkästen|mailboxes
die Entführer|abductors
die Entsagung|abjuration
die Ereignisse|happenings
die Fahrkarte|ticket
die Falken|hawks
die Freisprechung|acquittal
die Genauigkeit|accuracy
die Hamburger|hamburgers
die Handbücher|handbooks
die Handwaffe|handgun
die Handwaffen|handguns
die Harpune|harpoon
die Harpunen|harpoons
die Haselnuss|hazelnut
die Haselnüsse|hazelnuts
die Hauptrichtung|mainstream
die Hedonisten|hedonists
die Hegemonie|hegemony
die Heiler|healers
die Herzlosigkeit|heartlessness
die Herzschmerzen|heartache
die Herzschmerzen|heartaches
die Hoffnung|hope
die Hände|hands
die Höhe|height
die Hörer|hearers
die Hüte|hats
die Irren|madmen
die Irrenanstalt|madhouse
die Kopfhörer|headphones
die Kopfschmerzen|headaches
die Leiterin|headmistress
die Machete|machete
die Made|maggot
die Maden|maggots
die Magie|magic
die Makrelen|mackerels
die Maschine|machine
die Name|name
die Niedergeschlagenheit|abjectness
die Ohren|ears
die Perversionen|abberations
die Postschiffe |mailboats
die Postsäcke|mailbags
die Punks|punks
die Schmerzen|aches
die Schuldigen|culprits
die Tablette|tablet
die Tabletten|tablets
die Teckel|dachshunds
die Tische|tables
die Trommelfelle|eardrums
die Veranstaltung|event
die Veranstaltungen|events
die Verdiener|earners
die Verirrungen|abberations
die Verrücktheit|madness
die Verworfenheit|abjectness
die Verächtlichkeit|abjectness
die Zeitschriften|magazines
die Überschrift|headline
die Überschriften|headlines
Dieb (m)|thief
dienlich|servicing
Dienst (m)|service
Dienstag (m)|Tuesday
Diensteifer|zeal
Dienstmädchen|maidservant
Dienstmädchen (n)|maid
Dienstprogramm (n)|utility
dies ist (...)|this is (...)
dies ist beschädigte|this is damaged
dies ist das einzige freie Zimmer|this is the only room vacant
dies ist ein (...)|this is a
dies ist falsch|this is wrong
dies ist für Ihn|this is for you
dies ist gebrochen|this is broken
dies ist mein (...)|this is my (...)
dies ist meine erste Zeit in (...)|this is my first time in (...)
dies ist nicht mein|this is not mine
diese|these
diese (...) ist schmutzig|this (...) is dirty
dieser|these
dieser Platz ist besetzt|this seat is taken
dieses Zimmer gefällt mir nicht|I don't like this room
digit|Stelle (f)
digit|Ziffer (m)
digital|digitally
digital|numerisch
digitally|digital
Diktator (m)|dictator
Diktatur (f)|dictatorship
Dilletant|dabbler
dining|speisend
dining car|Speisewagen (m)
dinner|Abendessen (n)
dinner|Mahlzeit (f)
dinner meeting|Tischgesellschaft (f)
dip|eintauchen
dip|Senkung (f)
dip|tauchen
Diplom (n)|diploma
diploma|Diplom (n)
direct|anweisen
direct|direkt
direct|führen
direct|leiten
direct|lenken
direct flight|direkte Flucht (f)
directional|richtungs
directly|direkt
direkt|direct
direkt|directly
direkt gerade|straight
direkte Flucht (f)|direct flight
Direktor (m)|manager
Dirigent|maestro
Dirne (f)|prostitute
dirt|Dreck (m)
dirt|Kot (m)
dirt|Schmutz (m)
dirty clothes|schmutzigen Kleidungen (pl)
disagree|nicht zustimmen
disagree|nichtuebereinstimmen
disagree|uneinig
disappointed|entäuschte
discover|entdecken
discovery|Entdeckung (f)
discuss|besprechen
discuss|diskutieren
discussion|Besprechung (f)
discussion|Diskussion (f)
dish|Gericht (n)
dish|Schüssel (f)
dishwasher|Geschirrspülmaschine (f)
disinfectant|Desinfektionsmittel (n)
disk|Scheibe (f)
disk drive|Scheibelaufwerk (n)
diskette|Diskette (n)
Diskette (f)|floppy disk
Diskette (n)|diskette
Diskussion (f)|discussion
diskutieren|discuss
dissolute|lose
distant|fern
distillery|Schnapsbrennerei (f)
distribute|austeilen
distribute|verteilen
dive|Kopfsprung (m)
dive|tauchen
diving|tauchend
dizzy|duselig
dizzy|schwindlig
DM|German Mark
do|ausführen
do|machen
do|tun
do|verrichten
do you have (...)|haben Sie
do you speak (...)|sprechen Sie (...)
doable|machbar
doberman|Dobermann
Dobermann|doberman
doch|however
doch|yet
dock|Dock (n)
dock|docken
Dock (n)|dock
Dockarbeiter|dockworker
docken|dock
dockworker|Dockarbeiter
doctor|Arzt (m)
doctor|Doktor (m)
doctor's office|Arztamt (n)
doctorate|Doktorat (n)
doctors|Doktoren
doctorship|Doktorwürde
doctrine|Doktrin
document|Akte (f)
document|Beleg (m)
document|Dokument (n)
document|dokumentieren
document|Urkunde (f)
documents|dokument (pl)
documents|Urkunden (pl)
doe Harmonie|harmony
does anybody here speak English|Spricht hier irgend jemand Englisch
does anyone here speak English|sprechen jemand hier Englisch
does breakfast come with the room|kommt Frühstück mit das Zimmer
does that hurt|tut das weh
does that include all taxes|ist allen Steuern darein
does that include mileage|ist Kilometergeld im Preis einbegriffen
does the (...) stop at (...)|halten (der) (...) um (...)
does the hotel have (...)|hat das Hotel (...)
does the pool have a lifeguard|hat das Schwimmbecken einen Badewärter
does the train stop at (...)|hält die Zug auch in (...)
does this bus go to (...)|fahrt diesen Autobus nach (...)
dog|hount
dog|hund
dog|Hund (m)
dogcart|wagon
Doktor (m)|doctor
Doktorat (n)|doctorate
Doktoren|doctors
Doktorwürde|doctorship
Doktrin|doctrine
Dokument (n)|document
dokument (pl)|documents
dokumentieren|document
Dolch|dagger
Dolche|daggers
Dollarnote (f)|greenback
dollars|Dollars (pl)
Dollars (pl)|dollars
Dolmetscher (m)|interpreter
Dom (m)|cathedral
dominant|beherrschend
dominant|dominantly
dominantly|dominant
dominate|dominieren
dominieren|dominate
don't mention it|bitte sehr
donate|schenken
donate|spenden
donate|stiften
donation|Gabe (f)
donation|Schenkung (f)
donation|Spende (f)
donation|Stiftung
donation|Zuwendung (f)
donkey|Esel
Donner und Blitzen|thunder and lightning
Donnerstag (m)|Thursday
doof|goofy
door|Pforte (f)
door|Tür (f)
doorbell|Türklingel
doorkeeper|Türsteher
doorman|Pförtner (m)
doorman|Portier (m)
doorway|Eingang (m)
doorway|Torweg (m)
doorway|Türeingang (m)
doppel|double
Doppelbett (n)|double bed
Doppelbild (m)|ghost
Doppelgänger (m)|double
doppelt|double
doppelt|twice
Dorf (n)|village
Dorn|arbor
dort|there
dort drüben|yonder
dort zu fahren|is there a shorter way to get there
dortdrüben|yonder
dorthin|there
dosage|Dosierung (f)
Dose (f)|can
Dosierung (f)|dosage
double|doppel
double|Doppelgänger (m)
double|doppelt
double|krümmen
double|verdoppeln
double|zwiefach
double bed|Doppelbett (n)
down|außer
down|betrieb
down|drosseln
down|Flaum (m)
download|unterladen
downtown|geschäftsviertel
downward|absteigend
downward|abwärts
downward|sinkend
dozen|Dutzend (n)
Drache|dragon
Drachen|dragons
Drachen (m)|kite
dragon|Drache
dragons|Drachen
Draht (m)|wire
Drahtesel (m)|bicycle
Drahtzange (pl)|pliers
drake|Erpel
Drangsal (f)|tribulation
drank|trank
drank too much|zuwiel getrunken haben
draussen|outside
draußen|outside
drawing|zeichnend
drawing|Zeichnung (f)
drawing|Ziehung (f)
drawing|Zug (m)
drawing paper|Zeichnungpapier (n)
Dreck (m)|dirt
dregs|Abschaum (m)
dregs|Bodensatz (m)
Drehung (f)|revolution
drei|three
Dreifuß (m)|tripod
dreissig|thirty
dreist|fresh
dreizehn|thirteen
dreißig|thirty
dress|anziehen
dress|Kleidung (f)
dressed|kleidete
dribble|tröpfeln
dringend|badly
drink|Getränk (n)
drink|trinken
drink|trunk
drink|zechen
drinking glass|Trinkglas (n)
drinking water|Trinkwasser (m)
drinking water|Trinkwasser (n)
drinnen|inside
dripping|Bratenfett (n)
dripping|tröpfeld
dritt-|third
dritte|third
dritter|third
driver|Autofahrer (m)
driver|Fahrer (m)
driver|Treiber (m)
driving|fahrend
Droge (f)|drug
Drogerie (f)|drug store
drosseln|down
Druck (m)|print
Drucke (pl)|prints
drucken|print
druckend|printed
druckend|writing
Drucker (m)|printer
drug|Arzneimittel (n)
drug|Droge (f)
drug|Medikament (n)
drug store|Drogerie (f)
drum set|Trommelset (n)
drums|Trommeln (pl)
drumstick|Schlegel (m)
drumstick|Trommelstock (m)
dry|dürr
dry|dörren
dry|trocken
dry|trocknen
dröhnen|sound
drücken|squeeze
Drüse (f)|gland
Dschungel (m)|jungle
du|you
dubious|zweifelhaft
ducal|herzoglich
ducally|herzoglich
duchess|Herzogin
duchesses|Herzoginnen
duchies|Herzogtü,er
duchy|Herzogtum
duck|ducken
duck|Ente (f)
duck|tauchen
ducken|duck
duckling|Entlein
Dudelsack|bagpipe
Dudelsackspieler|bagpiper
Dudelsaecke|bagpipes
due|fällig
due|schuldig
dumm|stupid
dummer Bauer (m)|yokel
Dummkopf (m)|idiot
dunkel|dark
Dunkelheit|darkness
Dunkelheit (f)|dark
dunkelste|darkest
dunkler|darker
durch|per
durchaus|quite
Durcheinander (n)|confusion
Durcheinander (n)|mess
durcheinanderbringen|upset
Durchfahrt (f)|thoroughfare
Durchgangsverkehr (m)|through traffic
durchgehen|bolt
durchgehen|peruse
durchschnittich|medium
durchsehen|peruse
durchsuchen|search
Durchsucht (f)|search
during|während
durst löschen|quench
Dusche (f)|shower bath
Duschen (pl)|showers
Duschevorhang (m)|shower curtain
duselig|dizzy
duselig|stupid
duty|Betriebszeit (f)
duty|Obliegenheit (f)
duty|Pflicht (f)
duty|Steuer (m)
duty-free shop|Zollfreigeschäft (n)
Dutzend (n)|dozen
dädalisch|daedal
Dämonen|daemons
dänisch|Danish
dörren|dry
dürfen|may
dürr|dry
Düse (f)|jet
