1322
babbitt|Spießer
Bakkalaureus der philosophischen Fakultät (m)|bachelors degree
Bakterie|bacteria
balalaika|Balalaika, die
balalaikas|Balalaiken, die
Balalaiken|balalaikas
balance|Gleichgewicht, das
balanced|ausgeglichen 
balancer|Ausgleicher, der
balancers|Ausgleicher, die
balances|Gleichgewichte, die
balancing|ausgleichen
balconies|Balkone (pl)
balcony|Balkon (m)
bald|kahl
bald|soon
bald sowie rasch|soon
baldhead|Glatzkopf, der
baldig|early
baldness|Klatzkoepfigkeit, die
Balken|arbor
balken|bar
Balkon (m)|balcony
Balkone (pl)|balconies
ballad|Ballade, die
Ballade|ballad
ballade|Balladen, die
Balladen|ballade
ballast|Ballast, masc.
ballcarrier|Balltraeger, masc.
ballerina|Ballerina, fem.
ballerinas|Ballerinas, pl.
ballet|Ballet (n)
Ballet (n)|ballet
ballfield|Spielfeld, das
ballfields|Spielfelder, pl.
ballgown|Ballkleid, das , Abendkleid, das
ballistics|Ballistik, fem.
Ballistik|ballistics
Ballkleid|ballgown
Ballon|balloon
Ballonfahren|ballooning
Ballonfahrer|ballooner
Ballonfahrerin|ballooner
balloon|Ballon, masc.
ballooner|Ballonfahrer, masc. , Ballonfahrerin, fem.
ballooning|Ballonfahren, das
ballot|Wahl, fem.
ballot|Wahlurne, die
ballpark|Stadion, das, Sportstaette, fem.
ballplayer|Ballspieler, der
ballplayers|Ballspieler,die
ballroom|Ballsaal, masc.
ballrooms|Ballsaele, pl.
balls|Baelle
Ballsaal|ballroom
Ballsaele|ballrooms
Ballspieler|ballplayer
Ballspieler|ballplayers
Balltraeger|ballcarrier
balm| 
balmily| 
balms|Basalme, die
baloney|Unsinn, der
balsam|Balsam, der
baluster|Treppengelaender, das
balustrade|Balustrate, die
balustrades|Balustraten, die
Balustrate|balustrade
Balustraten|balustrades
bambino|Kind
bamboo|Bambus (m)
bamboos|Bambus, die
Bambus|bamboos
Bambus (m)|bamboo
ban|Bann, der
Banalitaet|banality
banality|Banalitaet, fem.
banana|Banane (f)
Banane (f)|banana
band|Band (n)
band|Bande (f)
band|Kapelle (f)
Band (n)|band
Band (n)|tape
bandage|Binde (f)
bandage|Verband (m)
bandage|verbinden
bandaged|bandagiert
bandages|Binden
bandagiert|bandaged
bandaging|verbinden
bandaid|Pflaster, das
bandana|Kopftuch, das
bandana|Halstuch, das
Bandbreite|bandwidth
Bandbreiten|bandwidths
Bande (f)|band
Bandenmitglied|racketeer
bandit|Bandit (m)
Bandit (m)|bandit
bandmaster|Kapellmeister, der
bandwidth|Bandbreite, fem,
bandwidths|Bandbreiten, pl.
bangle|armreif
banish|bannen
banished|verbannt
banisher|Verbanner, der
banishes|verbannt
banishing|verbannen
banishment|Verbannung, die
banjo|Banjo, das
Banjo|banjoes
banjoes|Banjo, die
bank|bench
bank|Böschung (f)
bank|Speicheradressbereich (m)
bank|Ufer (m)
bank draft|Bankwechsel (m)
banker|Bankier (m)
Bankier (m)|banker
bankrott|bankrupt
bankrott|broke
bankrupt|bankrott
Bankwechsel (m)|bank draft
Bann|ban
Bann (m)|spell
banned|verbot
bannen|banish
bar|balken
bar|Bar (f)
bar|Gericht (n)
bar|Lokal (n)
Bar (f)|bar
barbecue|Barbecue (n)
barbecue|braten
barbecue|grillen
Barbecue (n)|barbecue
barber|Friseur (m)
barber|Herrenfriseur (m)
barbershop|Friseurladen (m)
bare|abisoliert
bare|bloß
bare|entblößen
bare|kahl
bare|nackt
bare|notdürftig
bares Geld|cash
bargain|feilschen
bargain|Geschäft (n)
bargain|Handel (m)
bargain|handeln
bargain|Sonderangebot (n)
bargaining|handelnd
barge|Kahn (m)
barge|Kanalboot (n)
barge|Lastkahn (m)
barge|Leichter (m)
Barkellner (m)|bartender
barn|Scheuer (f)
barn|Scheune (f)
barock|baroque
baroque|barock
barrette|Birrette (f)
Bart (m)|beard
bartender|Barkellner (m)
Basalme|balms
base|bezugsgröße
base|fundieren
base|Grundlage (f)
baseball|Baseballspiel (n)
baseball cap|Baseballkappe (f)
Baseballkappe (f)|baseball cap
Baseballspiel (n)|baseball
basket|Korb
basketball|Korbball (m)
basketballs|Basketbälle (Plural von Basketball)
Basketbälle (Plural von Basketball)|basketballs
bass|Baß (m)
bat|Fledermaus
bath|Bad (n)
bath mat|Badematte (f)
bath towel|Badtuch (n)
bath tub|Badewanne (f)
bathing|badend
bathing suit|Badeanzug (m)
bathrobe|Bademantel (m)
bathroom|Badezimmer (n)
Batterie (f)|battery
Batteriebeladung (f)|battery charger
battery|Akkumulator (m)
battery|Batterie (f)
battery charger|Batteriebeladung (f)
battle|gefecht
battle|Schlacht (f)
battle of the sexes|Sexenschlacht (f)
Bau (m)|building
Bauchredner|ventriloquist
baud rate|Baudrate (f)
Baudrate (f)|baud rate
Bauen (n)|building
Bauer (m)|farmer
Bauernhaus (n)|cottage
Bauernhof (m)|farm
Baum (m)|tree
baumartig|arboreal
baumartig|arboreally
Baumnüsse|walnuts
Baumverhau (mil.)|abatis
Baumverhaue|abatises
Baumwolle (f)|cotton
Bausch|wad
Bauwerk (n)|building
Bazille|bacillus
Bazillus (m)|germ
Baß (m)|bass
be|sein
be|verhalten
be|werden
be open|aufstehen
beach|Strand (m)
Beachtenuhr (f)|watch
Beamte (m)|clerk
beans|Bohnen (pl)
bear|tragen
bearbeiten|handle
bearbeiten|process
beard|Bart (m)
beautician|Kosmetikerin (f)
beautiful|schane
beautiful|schön
beauty|Schönheit (f)
Beben|quake
because|weil
become|werden
bed|Bett (n)
bed|Lager (n)
bed|Unterlage (n)
bedankt|thanks
Bedarf (m)|need
Bedarf (m)|want
bedauerlich|sadly
bedauernd|sorry
bedaure|sorry
bedecken|cap
bedenklich|questionable
bedienen|attend
bedienen|handle
bedienen|operate
bediente|attendant
Bedienung (f)|operation
Bedienung (f)|service
Bedienung (f)|waiting
Bedienung (f)|waitress
bedroom|Schlafzimmer (n)
Bedürfnis (n)|need
bedürftig|needy
beef|meckern
beef|Rind (n)
beef|Rindfleisch (n)
beehren|honor
beeilen|hurry
Beeilung (f)|hurry
beeinflussen|affect
beenden|aborting
beenden|end
beendet|completed
beendet|finished
beendet|past
beendigen|end
Beendigungen|abortions
beer|bier
beer|Bier (n)
beer bottle|Bierflasche (f)
beer glass|Bierglas (n)
beer keg|Bierfaß (n)
beet|Bete (f)
beet|Rübe (f)
beets|Runkelrüben (pl)
befassen|attend
Befehl (m)|order
befehlen|order
befehlshaber|commander
befestigen|confirm
befestigt|attached
befolgen|abide
befolgen|follow
before|bevor
before|ehe
before|vor
before|vorauf
before|vorher
before then|zuvor
befragen|question
Befragung (f)|questioning
befreien|deliver
befreien|unbind
befrieden|pacify
befriedigen|satisfy
befördern|upgrade
befühlen|finger
begabt|gifted
begegnen Morgen|see you tomorrow
Begegnung (f)|meeting
begeistert|zealous
begeistert|zealously
begeisterte Anhänger (m)|fan
Begeisterung (f)|zest
begießen|water
begießt|showers
begin|anfangen
beginner|Anfanger
begleiten|accompany
begleiten|attend
begleitend|unattended
Begleiter|accompanier
Begleiter (m)|accompanist
Begleiter (m)|attendant
Begleiter (pl)|accompanists
beglückwünschen|felicitate
begrenzen|limit
begrenzt|limited
Begriffsmensch|abstractionist
begründen|establish
begründen|ground
begründen|justify
begrüßen|welcome
behaart|haired
behagen|please
behalten|keep
Behandlung (f)|management
beherbergen|accommodate
beherrschen|master
beherrschend|dominant
beherzt|game
beherzt|hearted
beherzt|heartedly
behielt|kept
Behälter (m)|bin
bei|about
bei|at
bei|near
bei|of
bei|to
bei|with
beiden|two
Beifall|acclaim
beifügen|add
beifügen|include
Beifügung (f)|insert
Beihilfe|abetment
Beihilfe|abets
beilegen|add
Bein (n)|bone
Bein (n)|leg
beinahe|almost
beinahe|nearly
beipflichten|accede
beirren|confuse
Beistand (m)|sidekick
beiwohnen|attend
bekamm|got
bekannt|well-known
Bekannter (m)|friend
bekanntgeben|publish
bekleiden|cover
bekleiden|fill
Bekleidung (f)|clothing
bekommen|get
bekommen|getting
bekommen|receive
bekommend|getting
bekräftigen|confirm
bekümmern|grieve
belanglos|trivial
belastet|charges 
Belastung (f)|strain
beleben|animate
Beleg (m)|document
belegen|use
Belegschaft|labor
belegt|busy
belegt|occupied
belegt|reserved
belegt|used
belehrend|educational
Beleidigung|insult
Beleidigungen |insults
beleuchten|light
belfry|Glockenturm (m)
Belgien|belgium
belgium|Belgien
Belichtung (f)|exposure
belieben|please
beliebig|any
beliebigen|any
beliebt|popular
believe|glauben
believer|Glauber
bell|Glocke (f)
bell|Klingel (m)
bell|Schelle (f)
bellboy|Hotelpage (m)
bellen|yelp
bellhop|Page (m)
below|benieden
below|in der Hölle
below|unten
below|unter
belt|Gürtel (m)
belt|Kranz (m)
belustigen|amuse
belüften|ventilate
belüftet|ventilated
belüftet|ventilates
Belüftung|ventilation
bemannen|man
benannt|named
bench|bank
benennen|name
benieden|below
benutze|used
benutze|using
benutzen|use
Benutzerhandbuch (n)|user's manual
benutzt|used
Benutzung (f)|use
Benzin (n)|gas
Benzin (n)|gasoline
Benzin (n)|petrol
benötige|require
benötige|want
benötigen|need
benötigen|require
benötigen|want
benötigt|need
benötigt|needed
beobachten|observe
Beobachter|observer
Beobachter|observers
beobachtet|observed
beobachtet|observes
Beobachtung|observation
Beobachtungen|observations
bequem|easy
ber"uchtigt|notorious
beraten Sie mir|let me know if I can be of service
berechenbar|calculable
berechnen|calculate
berechnen|calculating
berechnet|calculated
berechnet|calculates
Berechnung|calculation
Berechnungen|calculations
berechtigen|justify
Berechtigung (f)|justification
Bereich|region
Bereich (m)|area
bereift|frosted
bereit|prepared
bereit|ready
bereiten|prepare
bereitete vor|prepared
Berg (m)|mountain
bergauf|uphill
Bergausblick (m)|mountain view
Bergbau (m)|mining
Berge (pl)|mountains
Bergkette (f)|mountain range
bergsteigen|climbing
Bergwerk|mine
Bericht (m)|account
berichtigen|amend
Bernstein (m)|amber
berth|anlegen
berth|Bettplatz (m)
beruhen|rest
beruhigen|quiet
berücksichtigen|consider
berühmt|famous
Berührung (f)|contact
besaenftigen|appease
besatz|border
Beschaffenheit (f)|quality
beschatten|tail
beschauen|contemplate
bescheiden|humble
beschleunigen|accelerate
Beschleuniger|accelerator
Beschleuniger ( Mz. )|accelerators
beschleunigt|accelerated
beschleunigt|accelerates
Beschleunigung|acceleration
Beschleunigungsmesser|accelerometer
Beschleunigungsmesser|accelerometers
Beschluß (m)|conclusion
beschreiben|write
beschriften|labeled
beschränken|limit
beschränkt|limited
beschuldigen|accuse
beschädigte|damaged
beschäftigen|occupied
beschäftigt|busy
Beschäftigung|occupation
Beschäftigungen|occupations
beschämen|abash
beschämend|abashing
beschämt|abashes
Beschämung|abashment
beschönigen|excuse
besetzen|fill
besetzt|busy
besetzt|engaged
besetzt|occupied
Besichtigung (f)|viewing
besinnen|remember
Besitzer (m)|owner
Besitzer (m)|proprietor
besohlen|sole
besonder-|special
Besonderheit (f)|specialty
besonders|extra
besorgt|careful
Besorgung (f)|care
Besorgung (f)|management
besprechen|discuss
Besprechung (f)|conference
Besprechung (f)|discussion
Besprechung (f)|meeting
besprengen|dabble
best|best-
best|beste
best|bester
best regards|herzliche Grüße
best-|best
bestaetigen|acknowledge
bestaetigen|affirm
Bestaetigung|acknowledgment
Bestaetigung|affirmation
beste|best
beste|first
Besteck (n)|fork
Besteck (n)|knife
Bestellung (f)|mail order
Bestellung (f)|order
besten Dank für Ihre Mühe|thanks for the trouble
bester|best
Besteuerung (f)|taxation
Bestimmung (f)|destination
Bestimmungsort (m)|destination
bestrafen|punish
bestraft|punished
bestreuen|tax
Bestände (pl)|stocks
beständig|abiding
beständig|perennial
bestätigen|confirm
Besuch (m)|company
besuchen|attend
besuchen Sie erstmals nach (...)|is this your first visit to (...)
Bete (f)|beet
betonen|accent
betonen|accentuate
betonend|accentuating
betonent|accented
betont|accentuates
betonte|accentuated
Betonung (f)|accent
betrachten|consider
betrachten|contemplate
betrachten|viewed
betrachten|viewing
betrachtend|contemplating
Betrag|amount
betreffen|affect
betreibt|operate
betrieb|down
Betrieb (m)|company
Betrieb (m)|management
Betriebsanlage (f)|factory
Betriebszeit (f)|duty
Betrug (m)|scam
betrüben|grieve
betrüben|sadden
betrübt|saddened
Bett (n)|bed
Bettdecke (f)|blanket
Bettplatz (m)|berth
betupfen|dab
betupfen|dabble
betätigen|operate
betätigen|show
Beule (f)|boil
Beunruhigung (f)|alarm
beurteilen|judge
Beutel (anat.|sac
Beutel (m)|bag
Beutel (m)|purse
beutelvoll|bagful
Bevollmächtigter (m)|attorney
bevor|before
bevölkern|people
Bevölkerung (f)|people
bewachen|watch
bewaffnen|arm
bewahren|keep
bewaldet|forested
bewegen|affect
bewegen|move
Bewegung (f)|motion
Bewegung (f)|move
Bewegungkrankheit (f)|motion sickness
Bewerbung|ad
bewerten|grade
bewerten|price
bewerten|rate
bewirken|effect
bewirtschaften|farm
bewohnbar|habitable
Bewohner|habitant
Bewohner|habitants
bewundern|admire
bewundernt|admired
Bewunderung|admiration
bewältigen|overcome
bewölkt|cloudy
beyond|über
beyond|hinter
beyond|jenseits
beziehen|upholster
Beziehung (f)|pull
Beziehungen (pl)|relations
bezug|cover
bezugsgröße|base
BH (m)|bra
Bibel (f)|bible
bible|Bibel (f)
Bibliothek (f)|library
bicycle|Drahtesel (m)
bicycle|Fahrrad
bicycle|Fahrrad (m)
bicycle|Rad (m)
bicycle|Zweirad (m)
bid|Angebot (n)
bid|bieten
biegende Straße (f)|winding road
Biegung (f)|elbow
bier|beer
Bier (n)|beer
Bierbrauerei (f)|brewery
Bierfaß (n)|beer keg
Bierflasche (f)|beer bottle
Bierglas (n)|beer glass
Bierlokal (n)|liquor store
Bierlokal (n)|pub
Bierlokal (n)|tavern
Bierstube|cafes
bieten|bid
big|groß
big|gross
bigger|größer
bigger|grösser
biggest|grösste
biggest|größtes
bike|Fahrrad
biker|Radfahrer
biking|radfahren
bikini|Bikini (m)
Bikini (m)|bikini
Bild (n)|image
Bild (n)|painting
Bild (n)|picture
bilden|make
bilden herstellen|make
bildend|educational
Bilderrahmen (m)|picture frame
Bildhauer (m)|sculptor
Bildhauerei (f)|sculpture
Bildschirm (m)|screen
Bildschirmanzeige (f)|menu
bilingual|zweisprachig
bill|Geldschein (m)
bill|Rechnung (f)
bill|Schnabel (m)
bill|Zechel (m)
billboard|Anschlagbrett (n)
Billett (n)|ticket
billig|cheap
billig|inexpensive
billy club|Knüppel (m)
bin|am
bin|Behälter (m)
bin|Kasten (m)
Binde (f)|bandage
Binde (f)|sanitary napkin
Binden|bandages
binden|tie
Bindung (f)|bond
Bindung (f)|tie
bird|Vogel (m)
Birne|pear
Birne (f)|pear
Birnen|pears
Birrette (f)|barrette
birth|Geburt (f)
birth|Herkunft (f)
birthday|Geburtstag (m)
bis|until
bis jetzt sogar|yet
bis zu|until
bist|are
bitch|Hexe (f)
bitte|please
bitte|speak louder please
bitte sehr|don't mention it
bitten|ask
bitten|invite
Bißchen (n)|dab
black|schwarz
black|schwarze
blank|leer
blank|leerzeichen
blank|Niet (f)
blank|unbeschrieben
blank|vordruck
blank|weiss
blank|plain
blanket|Bettdecke (f)
blanket|Decke (f)
Blasrohr|peashooter
Blatt|leaf
blau|blue
Blau Zone|restricted parking
Blechverschluß (m)|seal
bleed|bluten
bleed|verlaufen
bleeding|blutend
bleeding|Blutung (f)
bleiben|stay
bleiben Sie bis die Kühe nach Hause kommen|wait until the cows come home
bleiben Sie hier|wait here
bleibt ein Arzt hier|is there a doctor here
bleibt ein Arzt hier|is there a doctor who speaks English
Bleistift (m)|pencil
blendet|blinds
Blick (m)|look
blicken|look
Blinddarm (m)|appendix
blinds|blendet
blink|Augenblick (m)
blink|blinken
blink|blinkend
blink|blinzeln
blink|Strahl (m)
blinken|blink
blinken|flash
blinkend|blink
blinzeln|blink
Blitz m)|flash
Blitz m)|lightning
blitzen|lightninged
blitzlicht (n)|flash
blizzard|Schneesturm (m)
block|Block (m)
block|blockieren
Block (m)|block
blocked|blockiert
blocked|gesperrt
blocked|sperrte
blocked|verstopft
Blockflöte (f)|recorder
blockieren|block
blockieren|jam
blockiert|blocked
blood|Blut (n)
blouse|Bluse (f)
blowfish|Interfis
bloß|bare
bloß|sheer
blue|blau
Blume (f)|flower
Blumen (pl)|flowers
Blumenkind|hippie
Blumenkinder|hippies
Blumenkohl (m)|cauliflower
Bluse (f)|blouse
Blut (n)|blood
bluten|bleed
blutend|bleeding
blutig|rare
Blutung (f)|bleeding
Blähung (f)|flatulence
Blätterteig|milfoil
Blätterteig (m)|pastry
Blätterteige|milfoils
blättrig|leafy
blöd|zany
blöde|stupid
blöde|zany
blöder|zanier
Blödheit (f)|zaniness
Blödmänner (pl.)|zanies
blühen|flower
blühend|abloom
boat|Boot (n)
boat|Kahn (m)
Bockwurst (f)|sausage
Boden (m)|floor
Boden (m)|ground
Bodensatz (m)|dregs
body|Hauptteil (m)
body|Körper (m)
body|Leib (m)
boese; krankhaft|peccant
Bogen|arc
Bogen (m)|arch
Bohnen (pl)|beans
boil|Beule (f)
boil|kochen
boil|Schwären (m)
boil|sieden
boiled|gekocht
boiled|siedete
boiled potatoes|Salzkartoffeln (pl)
Bolivia|Bolivien
Bolivien|Bolivia
bolt|ausreißen
bolt|Bolzen (m)
bolt|durchgehen
bolt|Kammerverschluß (m)
Bolzen (m)|bolt
bomb|die Bombe
bombs|die Bomben
Bonbon (f)|candy
Bonbons (pl)|candies
bond|Bindung (f)
bond|Bürgschaft (f)
bond|Fessel (f)
bond|gefangen
bone|Bein (n)
bone|Gräte (f)
bone|knochen (m)
bonfire|Freudenfeuer (m)
bonnet|Lärmschutzhaube (f)
bonnet|Motorhaube (f)
bonnet|Mütze (f)
book|Buch (n)
book|buchen
book|verbuchen
book cover|Buchdekel (m)
book store|Buchhandlung (f)
booking office|Fahrkarten
boot|Stiefel
Boot (n)|boat
booth|Bude
booth|Stand
booths|Buden
booths|Stände
boots|Stiefel (pl)
boots|Stiefel
Bord (n)|shelf
border|besatz
border|Grenze (f)
Bordstein (m)|curb
bored|langweilte
boredom|Überdruß (m)
boredom|Langeweile (f)
boring|langweilig
borniert|stupid
boss|Chef (m)
boss|leiten
Botanik)|sac
Botschaft (f)|embassy
Botschafter|ambassador
Botschafterin|ambassadress
bottle|Flasche (f)
bottled water|Flaschewasser (n)
Boulevardzeitung|tabloid
bourbon|Bourbon (n)
Bourbon (n)|bourbon
bowl|Schüssel (f)
Bowle (f)|fruit cup
box|boxen
box|Kasten (m)
box|Schachtel (f)
boxen|box
boy|Bube (m)
boy|Junge (m)
boyfriend|Freund (m)
bra|BH (m)
bracelet|Armband (m)
brach|broke
brain|Gehirn (n)
brain|Hirn (n)
brain|Verstand (m)
brakes|Bremse (pl)
brakes|bremst
branch|Ast (m)
branch|springen
branch|verzweigen
branch|Verzweigung (f)
branch|Zweig (m)
branch office|Niederlage (f)
Brandung (f)|surf
brandwunde|burn
brandy|branntwein
brandy|Kognak (m)
brandy|Schnaps (m)
brandy|weinbrand
brandy|Weinbrand (m)
branntwein|brandy
Brasilianer (m)|Brazilian
brasilianisch|Brazilian
Brasilien|Brazil
Brasiliennuß (f)|brazil nut
braten|bake
braten|barbecue
braten|broil
Bratenfett (n)|dripping
bratete|broiled
Bratkartoffeln (pl)|fried potatoes
Bratwurst (f)|sausage
Brauch (m)|custom
brauchbar|useful
brauchen|require
brauchen|use
brauchen|want
Brauerei (f)|brewery
braun|brown
brav|good
Bravo!|magnifico
Brazil|Brasilien
brazil nut|Brasiliennuß (f)
Brazilian|Brasilianer (m)
Brazilian|brasilianisch
bread|Brot (n)
breakfast|Frühstück (n)
breakfast|Früstück (n)
breast|Brust (f)
breasts|Brüste (pl)
breath|Atem (m)
breath|Hauch (m)
breath|Schnaufer (m)
breathe|atmen
breezy|luftig
Breite|width
Bremse (pl)|brakes
bremst|brakes
brennen|burn
brewery|Bierbrauerei (f)
brewery|Brauerei (f)
bricht ab|aborts
bridge|überbrücken
bridge|Brücke (f)
Brief (m)|file
Brief (m)|letter
briefcase|Aktenmappe (f)
briefcase|Aktentasche (f)
briefcase|Mappe (f)
Briefe|mailings
Briefe|mails
Briefe (pl)|letters
Briefkasten (m)|mailbox
Briefkopf|letterhead
Briefköpfe|letterheads
Briefmarke (f)|stamp
Briefpost (f)|mail
Brieftasche (f)|wallet
Brieftaschen|wallets
Briefträger(in)|letterman
Briefträger(innen)|lettermen
Briefumschlag|mailer
Briefumschlag (m)|envelope
Briefumschläge|mailers
Brille (pl)|eye glasses
bringen|carry
bringen|take
Bristhaar (n)|chest hair
britisch|British
British|britisch
British|englisch
broccoli|Brokkoli (pl)
broccoli|Spargelkohl (m)
brochure|Broschüre (f)
broetchen|kaiser
broil|braten
broil|grillen
broiled|bratete
broke|bankrott
broke|brach
broke|pleite
broken|gebrochen
broken|kaputt
broken|zerbrochen
Brokkoli (pl)|broccoli
brooch|Brosche (f)
Brosche (f)|brooch
Broschüre (f)|brochure
Brot (n)|bread
Brot (n)|loaf of bread
broth|Brühe (f)
broth|Fleischbrühe (f)
brother|Bruder (m)
brotherhood|Bruderschaft (f)
brown|braun
brown|bräunen
Bruch (m)|fraction
Bruch (m)|fracture
Bruckteil (m)|fraction
Bruder (m)|brother
Bruderschaft (f)|brotherhood
bruise|quetschen
bruise|Quetschung (f)
bruise|zerstampfen
bruised|zerstampfte
brummen|buzz
Brummenvogel (m)|hummingbird
Brunnen|well
Brunnen (m)|fountain
Brunnenkresse|watercress
brush|Bürste (f)
brush|bürsten
brush|Dickicht (n)
brush|fegen
brush|Gestrüpp (n)
brush|kehren
Brust (f)|breast
Brust (f)|chest
Brustkasten (m)|chest
Brustwarze (f)|nipple
Bräune (f)|tan
bräunen|brown
bräunen|tan
Brötchen (n)|roll
Brücke (f)|bridge
Brücke (f)|rug
Brühe (f)|broth
brüllen|yell
brüllend|uproariously
Brüste (pl)|breasts
Bube (m)|boy
Buch (n)|book
Buchdekel (m)|book cover
buchen|book
Buchhalter|accountant
Buchhalter (m)|accountant
Buchhalterin (f)|accountant
Buchhandlung (f)|book store
Buchse (f)|gland
Buchstabe (m)|letter
Buchstaben (pl)|letters
buchstabieren|spell
Buckaroo (m)|cowboy
bucolic|ländlich
Bude|booth
Bude (f)|stand
Buden|booths
buffet|Büfett (n)
building|Bau (m)
building|Bauen (n)
building|Bauwerk (n)
building|Gebäude (n)
bullet|Kugel (f)
bumpy|holprig
bunch|Bündel (n)
bunch|bündeln
bunch|Büschel (m)
bunch|Bund (n)
bund|league
Bund (n)|bunch
Bundes-|federal
bunion|Schwiele (n)
bunt|colorful
Buntstift (m)|crayon
Burg (f)|castle
burn|brandwunde
burn|brennen
burn|verbrennen
bus|Autobus (m)
bus driver|Omnibusfahrer (m)
bus stop|Haltestelle (f)
Busch (m)|bush
buschig|bushy
bush|Busch (m)
bush|Strauch (m)
bushy|buschig
business|Geschäft (n)
business|geschäftlich
business|Gewerbe (n)
businessman|Geschäftsmann (m)
businessman|Kaufmann (m)
businesswoman|Geschäftsfrau (f)
Busleitung (f)|highway
busy|belegt
busy|beschäftigt
busy|besetzt
busy|emsig
busy|geschäftig
but|aber
but|jedoch
Butan (n)|butane
butane|Butan (n)
butcher shop|Fleischerladen (m)
butt|Butte (f)
butt|kolben (n)
butt|Stücksaß
butt|rectum
Butte (f)|butt
butter|Butter (f)
Butter (f)|butter
butterfly|Schmetterling (m)
buttocks|Gesäß (n)
button|Knopf (m)
button|zuknöpfen
buxom|üppig
